seed,method,nrmse
123,iterativesvd,1.0177763243998208
123,dae,0.9905220462019996
456,iterativesvd,0.98131678519283
456,dae,0.937074954628292
789,iterativesvd,0.9994931921793411
789,dae,0.9646272445478492
1024,iterativesvd,1.0014677622630384
1024,dae,0.9653723781001295
1337,iterativesvd,1.1825029817370332
1337,dae,0.9813565206714472
2024,iterativesvd,1.0049383109063854
2024,dae,0.9748921831913778
7,iterativesvd,1.0109306708026033
7,dae,0.9919939060602586
99,iterativesvd,0.9516518199529622
99,dae,0.946563810442984
555,iterativesvd,1.0103180829883593
555,dae,0.99228212708556
31337,iterativesvd,0.9899699018964575
31337,dae,0.9995807574806196
