missing_frac,seed,method,nrmse
0.05,123,iterativesvd,1.021972767291324
0.05,123,dae,0.9863403723957612
0.05,456,iterativesvd,0.9306758493745346
0.05,456,dae,0.9341876411194606
0.05,789,iterativesvd,0.9864812271968828
0.05,789,dae,0.9452235009114744
0.05,1024,iterativesvd,1.0271383052801089
0.05,1024,dae,0.9665814848047452
0.05,1337,iterativesvd,1.1021021993328963
0.05,1337,dae,1.0096383475525426
0.05,2024,iterativesvd,1.100234676940914
0.05,2024,dae,1.0042146797924718
0.05,7,iterativesvd,0.998724358629411
0.05,7,dae,0.9755387388475392
0.05,99,iterativesvd,0.9963278187630067
0.05,99,dae,0.984348866750722
0.05,555,iterativesvd,1.0794942252870066
0.05,555,dae,0.91327236457537
0.05,31337,iterativesvd,0.9738722949777352
0.05,31337,dae,0.9827717226830458
0.1,123,iterativesvd,1.0306737777532162
0.1,123,dae,0.960451278347514
0.1,456,iterativesvd,0.92866626326098
0.1,456,dae,0.955041754915264
0.1,789,iterativesvd,0.9412019053891445
0.1,789,dae,0.9572036628907538
0.1,1024,iterativesvd,1.0582463824211117
0.1,1024,dae,0.9917137149960747
0.1,1337,iterativesvd,1.2248141379729567
0.1,1337,dae,0.993210629051988
0.1,2024,iterativesvd,1.029641460073454
0.1,2024,dae,0.9359016983463612
0.1,7,iterativesvd,1.088903060431611
0.1,7,dae,0.9780815892611824
0.1,99,iterativesvd,0.9845711773515999
0.1,99,dae,0.9464090120437184
0.1,555,iterativesvd,0.9859062417972251
0.1,555,dae,0.960589718663478
0.1,31337,iterativesvd,0.9733948358262666
0.1,31337,dae,0.9661211604458388
0.15,123,iterativesvd,1.0849746630683788
0.15,123,dae,0.9889800879720252
0.15,456,iterativesvd,0.9758351520843764
0.15,456,dae,0.9065119865647148
0.15,789,iterativesvd,0.9623989698626467
0.15,789,dae,0.973814897437572
0.15,1024,iterativesvd,1.0320648261682392
0.15,1024,dae,0.9560474244899682
0.15,1337,iterativesvd,1.206321933996894
0.15,1337,dae,1.0248519748925649
0.15,2024,iterativesvd,1.0191993691259007
0.15,2024,dae,0.9688397924000068
0.15,7,iterativesvd,1.0423863079405598
0.15,7,dae,0.9886427372125528
0.15,99,iterativesvd,0.9654517737779733
0.15,99,dae,0.9470299522233128
0.15,555,iterativesvd,0.9854854094420611
0.15,555,dae,0.9900426476247496
0.15,31337,iterativesvd,1.0192963311659196
0.15,31337,dae,0.9765411205614348
0.2,123,iterativesvd,1.0177763243998208
0.2,123,dae,0.9905220462019996
0.2,456,iterativesvd,0.98131678519283
0.2,456,dae,0.937074954628292
0.2,789,iterativesvd,0.9994931921793411
0.2,789,dae,0.9646272445478492
0.2,1024,iterativesvd,1.0014677622630384
0.2,1024,dae,0.9653723781001295
0.2,1337,iterativesvd,1.1825029817370332
0.2,1337,dae,0.9813565206714472
