dataset,classifier,seed,accuracy
TKPI,rf,0,0.4314410480349345
TKPI,rf,1,0.4358078602620087
TKPI,rf,2,0.42620087336244544
TKPI,rf,3,0.43318777292576416
TKPI,rf,4,0.4349344978165939
TKPI,rf,5,0.44192139737991265
TKPI,rf,6,0.4358078602620087
TKPI,rf,7,0.4393013100436682
TKPI,rf,8,0.42358078602620086
TKPI,rf,9,0.4323144104803493
TKPI,lr,0,0.3842794759825327
TKPI,lr,1,0.38515283842794756
TKPI,lr,2,0.3781659388646288
TKPI,lr,3,0.3781659388646288
TKPI,lr,4,0.3877729257641921
TKPI,lr,5,0.38427947598253276
TKPI,lr,6,0.3799126637554585
TKPI,lr,7,0.37030567685589516
TKPI,lr,8,0.37641921397379907
TKPI,lr,9,0.37379912663755455
TKPI,nb,0,0.10305676855895196
TKPI,nb,1,0.10131004366812227
TKPI,nb,2,0.10480349344978165
TKPI,nb,3,0.09781659388646288
TKPI,nb,4,0.10567685589519651
TKPI,nb,5,0.10305676855895199
TKPI,nb,6,0.08908296943231439
TKPI,nb,7,0.09956331877729259
TKPI,nb,8,0.09868995633187774
TKPI,nb,9,0.09956331877729259
USDA,rf,0,0.21929835540210846
USDA,rf,1,0.2172459222651036
USDA,rf,2,0.21801556410621664
USDA,rf,3,0.21865757731207505
USDA,rf,4,0.22019842547434623
USDA,rf,5,0.21942705447107813
USDA,rf,6,0.2196845349500725
USDA,rf,7,0.22083739206116954
USDA,rf,8,0.21929959051793343
USDA,rf,9,0.21994053329007685
USDA,lr,0,0.2024880173179707
USDA,lr,1,0.20184814497954234
USDA,lr,2,0.20184814497954234
USDA,lr,3,0.2028746909122648
USDA,lr,4,0.20274558013802008
USDA,lr,5,0.20082209309314997
USDA,lr,6,0.20120547304524394
USDA,lr,7,0.2026167163869404
USDA,lr,8,0.20069413509367529
USDA,lr,9,0.201590582159493
USDA,nb,0,0.04452551378759796
USDA,nb,1,0.04606809111202419
USDA,nb,2,0.0460657032214291
USDA,nb,3,0.045939474384109495
USDA,nb,4,0.04542640727038579
USDA,nb,5,0.04645048297145812
USDA,nb,6,0.046323266041478475
USDA,nb,7,0.04709389597525157
USDA,nb,8,0.047222100997891245
USDA,nb,9,0.04542336065135068
