clf_seed,method,clf_acc,clf_f1
0,mean,0.6689956331877729,0.5154705498674059
1,mean,0.6646288209606988,0.5159393987828607
2,mean,0.6663755458515285,0.5138337726692777
3,mean,0.6628820960698689,0.5110580021588281
4,mean,0.6620087336244542,0.4919718629893053
5,mean,0.6576419213973799,0.49515612739467735
6,mean,0.6768558951965066,0.5425067394783584
7,mean,0.668995633187773,0.5258337867908075
8,mean,0.6672489082969432,0.5323515185537983
9,mean,0.6655021834061137,0.5330311772613552
0,median,0.6698689956331878,0.5016247115759747
1,median,0.6611353711790393,0.5010485786113164
2,median,0.6672489082969433,0.49838198276840195
3,median,0.6663755458515284,0.5098253469564086
4,median,0.6585152838427948,0.48503513942944093
5,median,0.6689956331877729,0.4928562408582565
6,median,0.6759825327510918,0.5237354399771531
7,median,0.6541484716157207,0.491131653917539
8,median,0.6698689956331878,0.5223161974961247
9,median,0.662882096069869,0.49324070457590236
0,knn_k10,0.6524017467248908,0.4884160768270499
1,knn_k10,0.6550218340611353,0.5034587069916521
2,knn_k10,0.6471615720524018,0.48988431987000414
3,knn_k10,0.6550218340611353,0.5007634179922246
4,knn_k10,0.6497816593886464,0.47487708703055376
5,knn_k10,0.6506550218340611,0.4721691950139305
6,knn_k10,0.6620087336244541,0.4983577208953191
7,knn_k10,0.6445414847161571,0.493137162487246
8,knn_k10,0.6532751091703056,0.49896210548118153
9,knn_k10,0.6593886462882097,0.5020938820907617
0,softimpute,0.6489082969432315,0.49500377207429913
1,softimpute,0.6471615720524018,0.5030396016179732
2,softimpute,0.6541484716157205,0.5006279942465317
3,softimpute,0.6506550218340611,0.5097953188001998
4,softimpute,0.6550218340611355,0.4994141895675388
5,softimpute,0.651528384279476,0.5102392030564626
6,softimpute,0.6602620087336244,0.512225752638473
7,softimpute,0.6558951965065501,0.5166457636377122
8,softimpute,0.6419213973799127,0.5022510122047895
9,softimpute,0.65764192139738,0.5039031478686223
0,masked_nmf,0.5152838427947598,0.26620296190896786
1,masked_nmf,0.5126637554585152,0.2636906291547643
2,masked_nmf,0.5135371179039302,0.26940934861431953
3,masked_nmf,0.5144104803493449,0.2660536836188501
4,masked_nmf,0.5161572052401746,0.2664029725661567
5,masked_nmf,0.5179039301310043,0.2673575024639066
6,masked_nmf,0.508296943231441,0.2610626386309011
7,masked_nmf,0.5152838427947598,0.2660169200588758
8,masked_nmf,0.5205240174672489,0.26896864662533176
9,masked_nmf,0.5109170305676856,0.2639186481861013
0,mice,0.6628820960698689,0.49691662138429465
1,mice,0.6611353711790393,0.4991513677233545
2,mice,0.6497816593886463,0.4914640000623584
3,mice,0.6655021834061137,0.519228341369516
4,mice,0.656768558951965,0.493629076222658
5,mice,0.6620087336244541,0.49941831652956736
6,mice,0.6655021834061134,0.5213085806867113
7,mice,0.6576419213973799,0.5076361598640073
8,mice,0.6550218340611355,0.5213499280996678
9,mice,0.6576419213973799,0.5107029006563696
0,iterativesvd,0.6497816593886462,0.5087346317712502
1,iterativesvd,0.6576419213973799,0.5206713815017269
2,iterativesvd,0.6532751091703057,0.500182772319706
3,iterativesvd,0.6506550218340611,0.5140396989071636
4,iterativesvd,0.6524017467248908,0.48759707098409333
5,iterativesvd,0.6550218340611353,0.5228414298226227
6,iterativesvd,0.6576419213973799,0.529977405206455
7,iterativesvd,0.6593886462882096,0.5169568277250698
8,iterativesvd,0.645414847161572,0.5218673136521579
9,iterativesvd,0.6558951965065503,0.5170302001491237
0,missforest,0.6558951965065501,0.49311978198978446
1,missforest,0.65764192139738,0.5070318302746795
2,missforest,0.6593886462882097,0.516259798370454
3,missforest,0.645414847161572,0.4996389378963565
4,missforest,0.6620087336244541,0.5062690360975944
5,missforest,0.6637554585152838,0.514767573235249
6,missforest,0.6541484716157205,0.5127651527782662
7,missforest,0.6532751091703057,0.5112417492314425
8,missforest,0.6550218340611353,0.5255715113874436
9,missforest,0.6637554585152838,0.5135336083532621
0,pica,0.656768558951965,0.49202561862899624
1,pica,0.6663755458515285,0.5137987249990855
2,pica,0.6602620087336245,0.5055343459983564
3,pica,0.6585152838427949,0.5063399862939592
4,pica,0.6655021834061136,0.4841498783443804
5,pica,0.6698689956331878,0.5054892558253461
6,pica,0.6689956331877729,0.5266338236391572
7,pica,0.6655021834061134,0.5146862398643061
8,pica,0.6620087336244541,0.5190854343101783
9,pica,0.6681222707423581,0.5112849933153089
