clf_seed,method,clf_acc,clf_f1
0,mean,0.44279475982532757,0.38064785100094567
1,mean,0.44803493449781656,0.38581864277798794
2,mean,0.4349344978165939,0.3654692669411177
3,mean,0.4462882096069869,0.38730197393759747
4,mean,0.4497816593886463,0.3743577976440311
5,mean,0.45152838427947606,0.3916176076472125
6,mean,0.45589519650655025,0.3997093505428427
7,mean,0.4480349344978166,0.39336530289888266
8,mean,0.4497816593886463,0.3979477032343244
9,mean,0.44803493449781656,0.39050024758146884
0,median,0.40960698689956326,0.3660747189860011
1,median,0.39912663755458516,0.36367836223275585
2,median,0.39126637554585153,0.3372901161065754
3,median,0.38777292576419214,0.34527163148928963
4,median,0.3965065502183406,0.3411275332336619
5,median,0.40436681222707416,0.36641964269563887
6,median,0.40262008733624455,0.3565360572004356
7,median,0.3921397379912664,0.35319544469457276
8,median,0.39475982532751097,0.3621080168599492
9,median,0.40873362445414846,0.3613017940760606
0,knn_k10,0.40262008733624455,0.35827833013000265
1,knn_k10,0.40174672489082974,0.36329489550984073
2,knn_k10,0.4034934497816594,0.35427739471004693
3,knn_k10,0.4069868995633188,0.3605653511793635
4,knn_k10,0.4078602620087336,0.353286817195634
5,knn_k10,0.4069868995633188,0.3555682401062835
6,knn_k10,0.40174672489082963,0.35447736558737936
7,knn_k10,0.3991266375545851,0.356601004598869
8,knn_k10,0.40262008733624455,0.3585548010365741
9,knn_k10,0.41222707423580784,0.3600275022486757
0,softimpute,0.4331877729257642,0.3750979701575904
1,softimpute,0.4314410480349345,0.3753913004035934
2,softimpute,0.4323144104803494,0.36475790753494397
3,softimpute,0.4366812227074236,0.3763878021753146
4,softimpute,0.44803493449781656,0.3751451694421382
5,softimpute,0.4454148471615721,0.39848068889919425
6,softimpute,0.43842794759825326,0.38505499321081316
7,softimpute,0.44104803493449785,0.3852482948483934
8,softimpute,0.4436681222707423,0.38817421335691826
9,softimpute,0.4393013100436681,0.377514482110869
0,masked_nmf,0.38515283842794756,0.24680239787792635
1,masked_nmf,0.3816593886462882,0.2426538229048154
2,masked_nmf,0.3685589519650655,0.23606591529429233
3,masked_nmf,0.39039301310043667,0.2495526105391957
4,masked_nmf,0.3799126637554585,0.24451377172903896
5,masked_nmf,0.3729257641921397,0.2392400300063405
6,masked_nmf,0.3781659388646288,0.24563790387536266
7,masked_nmf,0.3860262008733624,0.24583074475742453
8,masked_nmf,0.37467248908296946,0.2464329709867815
9,masked_nmf,0.3816593886462882,0.24468540379052475
0,mice,0.4436681222707423,0.3782662668162447
1,mice,0.44104803493449785,0.38374824454679063
2,mice,0.4366812227074236,0.3706338416352367
3,mice,0.4462882096069869,0.3732046874108356
4,mice,0.4393013100436681,0.35486356423900284
5,mice,0.4497816593886463,0.3814159314373353
6,mice,0.4454148471615721,0.37640160360584407
7,mice,0.43318777292576416,0.3739386387196876
8,mice,0.4393013100436681,0.3837672165185895
9,mice,0.4585152838427947,0.3862666773685396
0,iterativesvd,0.41572052401746723,0.36174606653586056
1,iterativesvd,0.42358078602620086,0.36406857794705555
2,iterativesvd,0.4174672489082969,0.35235388833280235
3,iterativesvd,0.4165938864628821,0.36067888630804984
4,iterativesvd,0.4192139737991266,0.3499745020862074
5,iterativesvd,0.4323144104803493,0.3812265492176995
6,iterativesvd,0.42270742358078606,0.37161180280415784
7,iterativesvd,0.42707423580786025,0.37204135113041137
8,iterativesvd,0.434934497816594,0.37862651269945674
9,iterativesvd,0.42882096069869,0.369997516443386
0,missforest,0.4148471615720524,0.3580647052330017
1,missforest,0.4148471615720524,0.3700613182934766
2,missforest,0.42008733624454153,0.36050944989215045
3,missforest,0.4096069868995634,0.3560599183926736
4,missforest,0.41310043668122265,0.34807649681262054
5,missforest,0.4104803493449782,0.36870946074282906
6,missforest,0.4061135371179039,0.359312360558482
7,missforest,0.41310043668122276,0.3672830747285068
8,missforest,0.4139737991266375,0.36556877275905986
9,missforest,0.41310043668122265,0.36749782300738343
0,pica,0.45240174672489086,0.38291672112886926
1,pica,0.44803493449781656,0.401257955400684
2,pica,0.45152838427947606,0.38515805908051226
3,pica,0.4454148471615721,0.37895972181348536
4,pica,0.45414847161572053,0.3761044185687684
5,pica,0.4558951965065502,0.3940747510507395
6,pica,0.4611353711790393,0.40477688265030476
7,pica,0.4567685589519651,0.3938905871878794
8,pica,0.4567685589519651,0.39617282792805736
9,pica,0.46288209606986896,0.3971595635025604
