method,target,target_type,regressor,cv_seed,r2,rmse
mean,Protein,macro,rf,0,0.7243260464824797,6.007993076972719
mean,Protein,macro,rf,1,0.7107102292347978,6.1410051122625955
mean,Protein,macro,rf,2,0.6994861687174342,6.211262098524184
mean,Protein,macro,rf,3,0.705209714626322,6.139401315519929
mean,Protein,macro,rf,4,0.7011633232067871,6.217498970643987
mean,Protein,macro,ridge,0,0.7781671529493766,5.2328337463194865
mean,Protein,macro,ridge,1,0.8068379746765398,4.969217584391068
mean,Protein,macro,ridge,2,0.819856489079846,4.8570661298898
mean,Protein,macro,ridge,3,0.8020864138876634,4.852300431167281
mean,Protein,macro,ridge,4,0.7955043007759022,5.051114890138566
mean,Protein,macro,knr,0,0.629652057437181,6.978126168617633
mean,Protein,macro,knr,1,0.605525000339797,7.126493451259338
mean,Protein,macro,knr,2,0.6395249807631362,6.868581828328478
mean,Protein,macro,knr,3,0.6136494126295382,7.061769655545163
mean,Protein,macro,knr,4,0.618338617909105,6.997193175391511
mean,Fat,macro,rf,0,0.9480495905079526,2.854364288689193
mean,Fat,macro,rf,1,0.9545285628597092,2.906487477503045
mean,Fat,macro,rf,2,0.9564628436814873,2.7912115842961622
mean,Fat,macro,rf,3,0.954872140714366,2.893718463010001
mean,Fat,macro,rf,4,0.9491030718407135,3.023728114057948
mean,Fat,macro,ridge,0,0.8909148244578482,2.9624190287171923
mean,Fat,macro,ridge,1,0.9394071461195687,3.0518794089624914
mean,Fat,macro,ridge,2,0.9661608524577501,2.4154723389877737
mean,Fat,macro,ridge,3,0.9684048993180209,2.4089720517808986
mean,Fat,macro,ridge,4,0.9669362308838526,2.3768223259054233
mean,Fat,macro,knr,0,0.672847405477751,7.099057277436441
mean,Fat,macro,knr,1,0.7526899850381367,6.777942558426903
mean,Fat,macro,knr,2,0.7276348060100524,6.8973957804406085
mean,Fat,macro,knr,3,0.7450902955947776,6.796152550644521
mean,Fat,macro,knr,4,0.7321274575629296,6.854093244033888
mean,Carbohydrate,macro,rf,0,0.9192002473862125,7.0040142640686955
mean,Carbohydrate,macro,rf,1,0.9215180419148294,6.853539702478389
