clf_seed,method,clf_acc,clf_f1
0,mean,0.6563570176399243,0.5693198675665965
1,mean,0.6566172153737336,0.5700547771676228
2,mean,0.6557166512551659,0.5693076716518422
3,mean,0.6617496156731258,0.5751006122911961
4,mean,0.6581565813970148,0.5721389856717078
5,mean,0.6594383022591915,0.574416112414852
6,mean,0.6591827979655173,0.5709265166195895
7,mean,0.6562301300741646,0.5718104099485256
8,mean,0.6587972771459931,0.5743234034852561
9,mean,0.6596960297613509,0.5716402184456649
0,median,0.6400614758316653,0.5517703131035147
1,median,0.6404456791943092,0.5548107748336442
2,median,0.6403179682179996,0.5561887769414844
3,median,0.6392934808116523,0.5541520025732605
4,median,0.6391647817426825,0.5524367344843377
5,median,0.640959816741748,0.5564076984405049
6,median,0.6385228508778791,0.5514045664676446
7,median,0.6395490674463816,0.5517178813945922
8,median,0.6365984580814041,0.5518713899378291
9,median,0.6360830030770852,0.5498826314568501
0,knn_k10,0.6518663011821705,0.5617381092883542
1,knn_k10,0.6508410727063281,0.5580452651612113
2,knn_k10,0.6505833452041687,0.5636249074044688
3,knn_k10,0.6541776145961048,0.5657835846401126
4,knn_k10,0.6517406487322359,0.561961424692465
5,knn_k10,0.6513528223631717,0.5601873945039906
6,knn_k10,0.6517404840501259,0.5615281360760644
7,knn_k10,0.6527648067743632,0.5644634701696578
8,knn_k10,0.6509682896363078,0.5606885975093112
9,knn_k10,0.6513530693863367,0.5612807158217095
0,softimpute,0.6418572519002257,0.5545600210135427
1,softimpute,0.6450653417441975,0.5573056708753114
2,softimpute,0.638906807217358,0.5551918384290762
3,softimpute,0.6464786436122691,0.5628429456534506
4,softimpute,0.6432716242020122,0.5563701534466212
5,softimpute,0.6442965233136346,0.5585134690340009
6,softimpute,0.6413459962897121,0.5557681665979849
7,softimpute,0.6399340118785206,0.5546907334925851
8,softimpute,0.640575778061214,0.5561548076245957
9,softimpute,0.6428842095382231,0.5552447667564088
0,masked_nmf,0.34646522202030366,0.159780981206824
1,masked_nmf,0.34710764693143703,0.16057178543248438
2,masked_nmf,0.34774858970358047,0.16207371876795124
3,masked_nmf,0.347106988202997,0.16137872274201795
4,masked_nmf,0.34595215490657993,0.16008652384878483
5,masked_nmf,0.3472342874740316,0.16129190777617752
6,masked_nmf,0.34787687706727505,0.1612793774335971
7,masked_nmf,0.34543917013391123,0.15984301834457426
8,masked_nmf,0.34672245547613306,0.1606007149497711
9,masked_nmf,0.34453975879011345,0.1578290382282022
0,mice,0.6458345718800358,0.5595296015489023
1,mice,0.6457080136784961,0.5575465151314104
2,mice,0.6423708954013344,0.556401533335578
3,mice,0.6499427317962454,0.5652923954547837
4,mice,0.6431432544972625,0.5568691037569834
5,mice,0.6472466386322822,0.5610362441155694
6,mice,0.6432703890861873,0.5582327499802571
7,mice,0.6445522746304739,0.5592336649234274
8,mice,0.6432699773809121,0.5575703523936819
9,mice,0.6459640120185004,0.55838022080413
0,iterativesvd,0.6355698536223066,0.5476664893572953
1,iterativesvd,0.6363399895097496,0.5491359520755525
2,iterativesvd,0.6340297465295304,0.5468730689726395
3,iterativesvd,0.6386512205826288,0.5520593201262752
4,iterativesvd,0.6354448599008119,0.5451685578818138
5,iterativesvd,0.6376240159214663,0.5491279945289983
6,iterativesvd,0.6353150903981272,0.5470767847719817
7,iterativesvd,0.6356983880091662,0.5486826896612945
8,iterativesvd,0.6319790425546807,0.5452395342939905
9,iterativesvd,0.6353134435770271,0.5473223388996754
0,missforest,0.6436545924488313,0.5573360648647634
1,missforest,0.6462217395206598,0.558432460890202
2,missforest,0.6430111794450377,0.5578721607185719
3,missforest,0.6463497798611895,0.5606691621893976
4,missforest,0.6440398662451903,0.5563901238003434
5,missforest,0.6454493804247317,0.5601160876396205
6,missforest,0.6425007472450741,0.5564961429837323
7,missforest,0.6455797263148014,0.5598392472577952
8,missforest,0.6412172148796873,0.5543006864890179
9,missforest,0.6403183799232746,0.5534051278697101
0,pica,0.6475015665385715,0.5597255837660675
1,pica,0.6486593641129687,0.5598315250765392
2,pica,0.6437831268356909,0.5587694510387942
3,pica,0.6499435552067955,0.5649537467786555
4,pica,0.6458379478632909,0.5587143554600891
5,pica,0.6491717724982523,0.5646271885063541
6,pica,0.6437840325872959,0.5547572107691897
7,pica,0.6477606114976109,0.5637791796853211
8,pica,0.6467335715185586,0.5611003476129983
9,pica,0.6482739256344996,0.5601659039787716
