clf_seed,method,clf_acc,clf_f1
0,mean,0.8745017748614405,0.8328015425197253
1,mean,0.8788660977997648,0.8404518092583297
2,mean,0.8742452001340512,0.8337498876998009
3,mean,0.8780959619123216,0.8380498828500482
4,mean,0.8795088520751181,0.841063631789237
5,mean,0.8764279791611258,0.8372330349416242
6,mean,0.8751447761599589,0.8327177497637948
7,mean,0.8782250726865662,0.8368636903961241
8,mean,0.8774535370011882,0.8366925991572207
9,mean,0.8741186419325118,0.8333724773923482
0,median,0.8727051753823301,0.8285544161123994
1,median,0.8777115938675676,0.8352066397854475
2,median,0.8754008568410183,0.832199873451955
3,median,0.8769404698874645,0.8342622647666978
4,median,0.8766852126169553,0.8344471215974417
5,median,0.8725780407934055,0.8308291565342236
6,median,0.8732191482476589,0.8316072981799474
7,median,0.8746322854336203,0.830413365349077
8,median,0.8734757229750482,0.8292767112120494
9,median,0.8737337798414277,0.83483047557396
0,knn_k10,0.8626957967361651,0.8091940831694956
1,knn_k10,0.869241992949959,0.8170786491201391
2,knn_k10,0.8614134171455486,0.8081947517397514
3,knn_k10,0.8675723633776631,0.8147532791225937
4,knn_k10,0.8651351504906291,0.8121298382111155
5,knn_k10,0.8639803995352671,0.8134910450427064
6,knn_k10,0.8647505354227102,0.8148797228149561
7,knn_k10,0.8670617664955895,0.8119698055058224
8,knn_k10,0.8650061220574395,0.8124514110385697
9,knn_k10,0.8643659203547912,0.8124784070777962
0,softimpute,0.8693679747641134,0.8267590054821984
1,softimpute,0.8745030923183206,0.8295970564410056
2,softimpute,0.8706532362916553,0.8235121527891167
3,softimpute,0.8732186542013288,0.8280342301747995
4,softimpute,0.8694986500184033,0.8240727212806777
5,softimpute,0.8680859245377167,0.8201330842437169
6,softimpute,0.8693689628567736,0.8262521726146609
7,softimpute,0.872450165134986,0.8288015147442784
8,softimpute,0.8706527422453254,0.8245697672553709
9,softimpute,0.8693703626547086,0.8267645765212913
0,masked_nmf,0.4607989881931161,0.402010297577095
1,masked_nmf,0.4679860448379981,0.4096696433659847
2,masked_nmf,0.46541930947144455,0.40457903376741317
3,masked_nmf,0.46618631639879754,0.4043034991526757
4,masked_nmf,0.47658113352343145,0.41309454179245125
5,masked_nmf,0.4661871398093475,0.40679783598048525
6,masked_nmf,0.460796847325686,0.4013162352478785
7,masked_nmf,0.46477811967613614,0.4027727588115869
8,masked_nmf,0.46516364049566017,0.402746693160368
9,masked_nmf,0.4649044308545108,0.4031516915426546
0,mice,0.8698821123115522,0.8273212196621159
1,mice,0.8723221247944561,0.8301826107389072
2,mice,0.867572528059773,0.8226289490702626
3,mice,0.8705245372226857,0.8258546560541589
4,mice,0.8697555541100126,0.8232083629176017
5,mice,0.8702682095184613,0.8273558250111158
6,mice,0.8677015564929628,0.8229680144012146
7,mice,0.8737335328182626,0.8292469158025828
8,mice,0.8705250312690156,0.8256004037147502
9,mice,0.8691139526094294,0.8281238009265754
0,iterativesvd,0.8662884193070012,0.8172221445485809
1,iterativesvd,0.8705257723385108,0.8243194488307017
2,iterativesvd,0.8677022152214027,0.8216057887409732
3,iterativesvd,0.8706526599042702,0.8234948653001425
4,iterativesvd,0.8705260193616755,0.8254253010824494
5,iterativesvd,0.8644929726026607,0.8189630092176798
6,iterativesvd,0.8650059573753295,0.8167738174414918
7,iterativesvd,0.8718084812933474,0.8254796090155316
8,iterativesvd,0.868472186426736,0.821423018009428
9,iterativesvd,0.866419753289731,0.8218308445518634
0,missforest,0.8660325033080518,0.8170997045929255
1,missforest,0.8702682095184613,0.8231337162017223
2,missforest,0.8684719394035707,0.821574189171048
3,missforest,0.869112305788329,0.8216353683292349
4,missforest,0.8689850888583495,0.8222836521670178
5,missforest,0.8674453111297933,0.8220947300665091
6,missforest,0.8641084398757967,0.8189131067931041
7,missforest,0.8734776991603683,0.8257024129777495
8,missforest,0.8685995680388254,0.8231136425343234
9,missforest,0.8650083452659245,0.8168461748787317
0,pica,0.8701386046978865,0.826767405604077
1,pica,0.8742464352498762,0.8312844291212583
2,pica,0.8701394281084367,0.8262136595461641
3,pica,0.8734753936108282,0.8298661688328102
4,pica,0.8752736399110386,0.8342301680040617
5,pica,0.8692410048572988,0.8277466684744839
6,pica,0.8705245372226857,0.8281970143957755
7,pica,0.8782245786402363,0.8370494958356041
8,pica,0.8710387571111793,0.8283130212585682
9,pica,0.8705246195637407,0.8299013348088995
