method,target,regressor,r2_mean,r2_std,rmse_mean
iterativesvd,Calcium,knr,0.5175023671158797,0.02213234477439089,139.3155633566886
iterativesvd,Calcium,rf,0.5556381730706823,0.06411169225658729,130.9395420014637
iterativesvd,Calcium,ridge,-0.22624600434454223,0.30369122062562126,190.69859863340258
iterativesvd,Carbohydrate,knr,0.9381242288212436,0.0014641374970212804,6.36783762265174
iterativesvd,Carbohydrate,rf,0.9720197791493514,0.0007953005394806751,4.277168230208997
iterativesvd,Carbohydrate,ridge,0.9556422770271598,0.005180772732793399,4.963410170273349
iterativesvd,Fat,knr,0.9570855176559819,0.00041876141213250176,3.358313674459972
iterativesvd,Fat,rf,0.992758537923684,0.00014870306480234058,1.384536262648338
iterativesvd,Fat,ridge,0.9763442570334574,0.0030855294589538593,2.2708418881860966
iterativesvd,Iron,knr,0.5965700123801997,0.0029560710350288208,3.4124563168273214
iterativesvd,Iron,rf,0.6352832722560414,0.01869421647342375,3.247459038236117
iterativesvd,Iron,ridge,0.2559271188127027,0.058027001469371654,4.579571854456765
iterativesvd,Protein,knr,0.8655257136570607,0.0037732601112227962,3.965201298111478
iterativesvd,Protein,rf,0.9106375430212692,0.004270160851535093,3.2245515993531506
iterativesvd,Protein,ridge,0.8349982191244066,0.03190110830806768,4.111162962634938
iterativesvd,Vitamin_C,knr,-0.12786704929084297,0.2159687349188521,62.89063280892192
iterativesvd,Vitamin_C,rf,-0.6807361834207282,0.6291014812796003,67.90389484844874
iterativesvd,Vitamin_C,ridge,-0.9571177592369292,0.7555276145358854,73.31969675190263
knn_k10,Calcium,knr,0.5128550758884002,0.02476198296369869,139.8940646343243
knn_k10,Calcium,rf,0.5529669434758044,0.06837438058837926,131.30021966346567
knn_k10,Calcium,ridge,0.17111614818691914,0.5021872191923488,160.54315822015678
knn_k10,Carbohydrate,knr,0.9438099954542277,0.001058869828104729,6.069082879546219
knn_k10,Carbohydrate,rf,0.9725709064717256,0.0008429639686145003,4.233420200126377
knn_k10,Carbohydrate,ridge,0.9642321398361234,0.010255546647429793,4.538881226995641
knn_k10,Fat,knr,0.9571224463770047,0.00042157311745017595,3.354865436172319
knn_k10,Fat,rf,0.9925693459270886,0.00015442564708430395,1.403244607529846
knn_k10,Fat,ridge,0.9814574757844406,0.005517730520459055,2.0642903678110116
knn_k10,Iron,knr,0.5994890727147439,0.00675405109312152,3.392141000164284
knn_k10,Iron,rf,0.6075486636641061,0.016700262200715833,3.3696868224984953
knn_k10,Iron,ridge,0.316842211839939,0.02083549132622025,4.421714333231864
