method,target,target_type,regressor,cv_seed,r2,rmse
mean,Protein,macro,rf,0,0.9133781485693945,3.1786555183761562
mean,Protein,macro,rf,1,0.9105660854739833,3.2244106238929717
mean,Protein,macro,rf,2,0.9113062626283707,3.217503129072655
mean,Protein,macro,rf,3,0.9157753128570733,3.1310627561329767
mean,Protein,macro,rf,4,0.9122840004622544,3.191725429286298
mean,Protein,macro,ridge,0,0.8436002365205362,4.061175028028806
mean,Protein,macro,ridge,1,0.8041751370971333,4.370338298061111
mean,Protein,macro,ridge,2,0.8692963201214182,3.8314279837237164
mean,Protein,macro,ridge,3,0.8645183700140222,3.8564885763990895
mean,Protein,macro,ridge,4,0.8355676495967972,4.17739580532683
mean,Protein,macro,knr,0,0.8685475670003328,3.9182552556443113
mean,Protein,macro,knr,1,0.8672282902859532,3.946498723299217
mean,Protein,macro,knr,2,0.872178982895773,3.866351454399304
mean,Protein,macro,knr,3,0.8715839819269211,3.8853361609327974
mean,Protein,macro,knr,4,0.8649093763384226,3.977831863311542
mean,Fat,macro,rf,0,0.9926367299181205,1.3982977747958791
mean,Fat,macro,rf,1,0.9927159766278562,1.3861754580209864
mean,Fat,macro,rf,2,0.9929732769724197,1.3646887773889624
mean,Fat,macro,rf,3,0.9927861657236017,1.374987473572099
mean,Fat,macro,rf,4,0.9928714416010515,1.3772108464410926
mean,Fat,macro,ridge,0,0.9750084231829182,2.311240170274872
mean,Fat,macro,ridge,1,0.9755249331334085,2.267478726097952
mean,Fat,macro,ridge,2,0.9772019144419511,2.2723988037902005
mean,Fat,macro,ridge,3,0.9796589012217808,2.162521455352669
mean,Fat,macro,ridge,4,0.9792006951800174,2.2099874049104495
mean,Fat,macro,knr,0,0.9561581178947529,3.4120394415509687
mean,Fat,macro,knr,1,0.9551678885565561,3.4339612058359186
mean,Fat,macro,knr,2,0.9542870946016716,3.4607662505655767
mean,Fat,macro,knr,3,0.9556140047403767,3.389511094806147
mean,Fat,macro,knr,4,0.9558452752602431,3.423186245581441
mean,Carbohydrate,macro,rf,0,0.9740905162098586,4.1018844256610185
mean,Carbohydrate,macro,rf,1,0.9739147800068396,4.13325793478014
mean,Carbohydrate,macro,rf,2,0.9728071835058539,4.221203465516847
mean,Carbohydrate,macro,rf,3,0.9738625406159178,4.117154021706905
mean,Carbohydrate,macro,rf,4,0.9734777210562893,4.16665917241537
mean,Carbohydrate,macro,ridge,0,0.9539387390507701,5.00263084225382
mean,Carbohydrate,macro,ridge,1,0.9532302540840334,5.0130337009889105
mean,Carbohydrate,macro,ridge,2,0.9582693659974992,4.945513461391564
mean,Carbohydrate,macro,ridge,3,0.9610061945167245,4.772418863194781
mean,Carbohydrate,macro,ridge,4,0.9588742670460142,4.869638285460328
mean,Carbohydrate,macro,knr,0,0.9418702083024935,6.156481012156301
mean,Carbohydrate,macro,knr,1,0.9437294959567646,6.080943649050664
mean,Carbohydrate,macro,knr,2,0.9400406660492647,6.272279609551281
mean,Carbohydrate,macro,knr,3,0.9430931907641081,6.104605029345433
mean,Carbohydrate,macro,knr,4,0.9426038417380708,6.148214794512087
mean,Calcium,micro,rf,0,0.5165720482628366,132.4305407825828
