method,target,regressor,r2_mean,r2_std,rmse_mean
iterativesvd,Calcium,knr,0.5108697820637296,0.023983075363730576,140.2360771946424
iterativesvd,Calcium,rf,0.543705066749712,0.06776292481188917,132.72296292602084
iterativesvd,Calcium,ridge,-0.2333718545788414,0.3059338643987881,191.14379221418872
iterativesvd,Carbohydrate,knr,0.9379548784857729,0.0017694722718952151,6.377907331654415
iterativesvd,Carbohydrate,rf,0.972153779235694,0.0008918833832785974,4.26691018954296
iterativesvd,Carbohydrate,ridge,0.960824957168259,0.004782512507775179,4.771347050793731
iterativesvd,Fat,knr,0.9568743681224106,0.00035378604762855933,3.3645352199038276
iterativesvd,Fat,rf,0.9927692306660623,0.00014098981046200916,1.3832363099999343
iterativesvd,Fat,ridge,0.9797438799168683,0.0027263079367292344,2.1626586933330767
iterativesvd,Iron,knr,0.5769315162124251,0.01975930265680652,3.490002547415392
iterativesvd,Iron,rf,0.5843004003600448,0.011683548121914052,3.4602481700481533
iterativesvd,Iron,ridge,0.2830738324998944,0.0338079002383604,4.529951990223506
iterativesvd,Protein,knr,0.8652556990344287,0.004582704749283369,3.9682285644269157
iterativesvd,Protein,rf,0.9094720426795782,0.003918698648789883,3.242697942033305
iterativesvd,Protein,ridge,0.8484639433832616,0.028361004826989597,4.016750613467833
iterativesvd,Vitamin_C,knr,-0.1380575711168685,0.23751654136421452,62.95094510102579
iterativesvd,Vitamin_C,rf,-0.5064595430575596,0.5546467385480375,65.68324716366372
iterativesvd,Vitamin_C,ridge,-0.9592195215837256,0.7548178129438614,73.34920006088022
knn_k10,Calcium,knr,0.5121231846729557,0.019520679155281807,140.12232419217918
knn_k10,Calcium,rf,0.5452233054164874,0.06310321245596509,132.5462507274472
knn_k10,Calcium,ridge,-0.23321430356774572,0.3117104846291292,191.2134845175658
knn_k10,Carbohydrate,knr,0.9427915591484048,0.0011264611153856338,6.123929388982503
knn_k10,Carbohydrate,rf,0.9729039007310039,0.000654905134443732,4.209298885341411
knn_k10,Carbohydrate,ridge,0.9642800121013234,0.010372710636858311,4.536381653626377
knn_k10,Fat,knr,0.9572492550045496,0.0002582409715868919,3.3517233812057383
knn_k10,Fat,rf,0.9925922573624535,0.00014403284722852618,1.4010298995050223
knn_k10,Fat,ridge,0.9784984783507964,0.0020767056816354827,2.199855466153676
knn_k10,Iron,knr,0.5635411185880596,0.016349959305748354,3.537492846988338
knn_k10,Iron,rf,0.5965650510016756,0.012103729021815047,3.4123255772546544
