nutrient,knn_k10,knn_k5,knn_k3,softimpute,masked_nmf,mice,mice_extratrees,missforest,mean,median
Beta_Carotene,4.152392639739754e-11,1.072155189478446e-09,4.284917060711488e-06,0.007226677383851897,1.1706959500675617e-26,2.324883884553262e-09,4.152392639739754e-11,9.582444553245586e-11,4.0897488568188005e-49,2.0895602771964966e-17
Calcium,0.0016006540591519095,0.022309114880516366,0.039178371645446554,0.0032759148667033267,0.08490734559138177,0.0007525075824439686,2.4922267541811472e-05,0.00014806005401104953,1.0669631648611175e-50,3.7138974252010965e-25
Carbohydrate,1.2175705666935596e-10,1.7042629173302435e-08,3.5168855519113917e-06,0.1635204486578329,0.013031625618996902,0.009638486651414018,0.051553287436266866,0.06609935511371211,7.898174403482649e-44,5.64912690738652e-27
Copper,3.200447091104203e-08,0.0008674674706489613,0.0952626831225526,1.988194018020298e-79,6.848223839847693e-78,1.7239257087927223e-15,3.11856223725425e-14,3.925510203336836e-10,4.2224322067033436e-90,1.0053265784163717e-17
Energy,3.93121109881343e-05,0.0003122436622908961,0.0019834467086878903,0.35523511994536416,0.0019834467086878903,9.251515499292064e-05,0.5628022390624456,0.4187210795492569,2.8098585471908482e-37,2.4282706717973434e-33
Fat,0.00010085582075834896,0.0016551143942754125,0.01252353751038117,0.00023543433081035298,2.737162465651256e-07,0.006627316316725447,0.022782757937149335,0.08616718975487236,2.0788355024533284e-50,5.335888387646698e-28
Fiber,2.2361221117948927e-05,0.002798558679976313,0.02214302914126447,0.18926838876035773,9.549145879900963e-05,0.0012858848278636543,5.9527143147436166e-05,5.9527143147436166e-05,8.507103896104846e-43,2.487428865626156e-22
Iron,0.0007198310355469227,0.007786120681491031,0.025041020917958578,1.1312113258065979e-05,0.014208688622242074,0.04262362323485037,0.00010085938989915766,1.1312113258065979e-05,1.0975675095220065e-57,1.9838873952657897e-27
Niacin,1.9038922547081324e-06,0.00013726050920913612,0.004422487266776494,0.18505908932074402,0.2904487035350489,5.989483559723998e-06,1.052843643156571e-06,1.052843643156571e-06,2.057407685236784e-46,2.0787390262329016e-21
Phosphorus,0.029705023315078374,0.08490734559138177,0.1355947161571191,0.8906470322771278,0.4362033068827971,0.30791311371803926,0.08490734559138177,0.1355947161571191,1.4752519157852373e-43,1.0355486988657594e-29
Potassium,1.6468552191066135e-07,8.406385253000372e-05,0.006456185690921962,3.0358604562968734e-05,0.035622123991813914,0.2904487035350489,8.644126941917067e-08,2.2891064559554955e-08,2.702592541891877e-39,1.981363774890951e-22
Protein,6.401893134589289e-08,2.9586837455499047e-06,1.3140640360245393e-05,0.06309546288009052,0.2999238038676486,0.000990197701613781,0.011368861401252773,0.06309546288009052,2.7028093898057174e-44,1.3934425884015626e-28
Retinol,4.578153509126987e-15,3.824840109132231e-09,3.5407495785177467e-07,8.452289071324028e-06,9.675687460955399e-19,3.5730721235458867e-05,5.212474804428919e-10,1.506139746085907e-07,4.790426621881745e-39,3.824840109132231e-09
Riboflavin,0.00020260424540969132,0.0011777764787425612,0.022522839353050637,2.875402109395388e-05,0.00565982119648457,5.899095491956513e-07,0.0001266276533810928,5.852413673299693e-06,1.4306770365657832e-51,3.574349535426893e-18
Sodium,3.067162034804271e-06,3.067599331647813e-05,0.00014885991509355556,0.0015695383413527966,9.978125298546739e-06,5.571542044873813e-06,8.905558913115115e-07,3.067162034804271e-06,2.3705852281428505e-43,1.8590174715443778e-19
Thiamine,3.418802402687966e-07,0.003688335435986252,0.05475696370794605,0.0012671899773395749,0.007172685974785472,1.5798298080133002e-11,4.721590257652454e-10,1.0943642958502518e-08,2.5989903866386333e-53,8.077849717995945e-23
Total_Carotenoids,3.410604958907793e-13,6.828257906188989e-08,4.184932188906019e-05,0.0002511023079573559,5.874733094138813e-06,2.9373665470694066e-06,0.0004394290389244031,0.0021063739420906914,1.22091671921647e-31,3.745751110939195e-14
Vitamin_C,5.466864777442038e-18,3.0265477929964394e-13,4.2860388889164843e-07,8.560857625339889e-05,4.287454663066656e-24,7.623271495008728e-12,1.36403720522977e-22,1.1211739382258984e-20,1.8603137751962329e-50,7.342354202392579e-19
Zinc,0.0012073191193955678,0.0461970711101923,0.10834743608700652,4.4939332206352585e-09,2.648888926146566e-05,0.00019797254695196357,0.0003170654072273937,0.001838417749428054,5.42393311979064e-43,1.0550140379481056e-19
