nutrient,knn_k10,knn_k5,knn_k3,softimpute,masked_nmf,mice,mice_extratrees,missforest,mean,median
Beta_Carotene,0.4,0.37333333333333335,0.29333333333333333,0.19333333333333333,0.6133333333333333,0.36666666666666664,0.4,0.3933333333333333,0.8066666666666666,0.5
Calcium,0.1822429906542056,0.14485981308411214,0.13551401869158877,0.17289719626168223,0.12149532710280374,0.19158878504672897,0.22897196261682243,0.2102803738317757,0.7009345794392523,0.5046728971962616
Carbohydrate,0.3173913043478261,0.2826086956521739,0.2391304347826087,0.10434782608695652,0.14782608695652175,0.15217391304347827,0.12608695652173912,0.12173913043478261,0.6347826086956522,0.5043478260869565
Copper,0.3333333333333333,0.22012578616352202,0.13836477987421383,0.949685534591195,0.9433962264150944,0.4591194968553459,0.44025157232704404,0.3710691823899371,0.9874213836477987,0.49056603773584906
Energy,0.21551724137931033,0.1939655172413793,0.1724137931034483,0.08620689655172414,0.1724137931034483,0.20689655172413793,0.07327586206896551,0.08189655172413793,0.5862068965517241,0.5560344827586207
Fat,0.21395348837209302,0.1813953488372093,0.15348837209302327,0.20465116279069767,0.26976744186046514,0.16279069767441862,0.14418604651162792,0.12093023255813953,0.6976744186046512,0.5302325581395348
Fiber,0.24598930481283424,0.18716577540106952,0.15508021390374332,0.11229946524064172,0.22994652406417113,0.19786096256684493,0.23529411764705882,0.23529411764705882,0.6898395721925134,0.5080213903743316
Iron,0.18376068376068377,0.15384615384615385,0.13675213675213677,0.2264957264957265,0.1452991452991453,0.1282051282051282,0.20512820512820512,0.2264957264957265,0.7136752136752137,0.5042735042735043
Niacin,0.2857142857142857,0.23809523809523808,0.19047619047619047,0.11904761904761904,0.10714285714285714,0.27380952380952384,0.2916666666666667,0.2916666666666667,0.75,0.5238095238095238
Phosphorus,0.14018691588785046,0.12149532710280374,0.11214953271028037,0.056074766355140186,0.08411214953271028,0.09345794392523364,0.12149532710280374,0.11214953271028037,0.6542056074766355,0.5467289719626168
Potassium,0.30952380952380953,0.24404761904761904,0.18452380952380953,0.25595238095238093,0.15476190476190477,0.10714285714285714,0.31547619047619047,0.3273809523809524,0.6964285714285714,0.5357142857142857
Protein,0.2843601895734597,0.25118483412322273,0.23696682464454977,0.12796208530805686,0.0947867298578199,0.1895734597156398,0.15639810426540285,0.12796208530805686,0.6635071090047393,0.5402843601895735
Retinol,0.5789473684210527,0.45263157894736844,0.4,0.35789473684210527,0.6421052631578947,0.3368421052631579,0.47368421052631576,0.4105263157894737,0.8842105263157894,0.45263157894736844
Riboflavin,0.22857142857142856,0.2057142857142857,0.16,0.25142857142857145,0.18285714285714286,0.2914285714285714,0.2342857142857143,0.26857142857142857,0.7714285714285715,0.4742857142857143
Sodium,0.29411764705882354,0.2679738562091503,0.24836601307189543,0.21568627450980393,0.28104575163398693,0.2875816993464052,0.30718954248366015,0.29411764705882354,0.7581699346405228,0.5228758169934641
Thiamine,0.26605504587155965,0.16972477064220184,0.12844036697247707,0.1834862385321101,0.16055045871559634,0.3394495412844037,0.3165137614678899,0.29357798165137616,0.7110091743119266,0.47706422018348627
Total_Carotenoids,0.4956521739130435,0.3826086956521739,0.30434782608695654,0.2782608695652174,0.33043478260869563,0.3391304347826087,0.26956521739130435,0.24347826086956523,0.7478260869565218,0.5130434782608696
Vitamin_C,0.4594594594594595,0.3945945945945946,0.2864864864864865,0.23243243243243245,0.5297297297297298,0.372972972972973,0.5135135135135135,0.4918918918918919,0.745945945945946,0.4702702702702703
Zinc,0.21084337349397592,0.15060240963855423,0.13253012048192772,0.3433734939759036,0.25903614457831325,0.23493975903614459,0.2289156626506024,0.20481927710843373,0.7289156626506024,0.5060240963855421
