missing_frac,seed,method,nrmse
0.05,123,mean,1.0096446042965121
0.05,123,median,1.09231970440576
0.05,456,mean,1.006541002084287
0.05,456,median,1.0447355254973776
0.05,789,mean,1.0041529123089394
0.05,789,median,1.0678009392173315
0.05,1024,mean,1.0145210741417952
0.05,1024,median,1.0668284926590441
0.05,1337,mean,1.0082274665648914
0.05,1337,median,1.0645381314557902
0.05,2024,mean,1.00948963547604
0.05,2024,median,1.0651096124391322
0.05,7,mean,1.0093555267544976
0.05,7,median,1.0569702400494618
0.05,99,mean,1.0085893499717695
0.05,99,median,1.0649921093371673
0.05,555,mean,1.0097080310147781
0.05,555,median,1.0556639537796677
0.05,31337,mean,1.0066675170369994
0.05,31337,median,1.0621207658501366
0.1,123,mean,1.0034852175368238
0.1,123,median,1.0736366519695026
0.1,456,mean,1.0028987498848168
0.1,456,median,1.0526211962125376
0.1,789,mean,1.0042479827065802
0.1,789,median,1.0559093981878866
0.1,1024,mean,1.005814459082658
0.1,1024,median,1.0383210954985116
0.1,1337,mean,1.0069658368934646
0.1,1337,median,1.0643311581843773
0.1,2024,mean,1.0069183378853037
0.1,2024,median,1.0629700120104528
0.1,7,mean,1.0024691696774557
0.1,7,median,1.0544325633774725
0.1,99,mean,1.001309601753744
0.1,99,median,1.0552254417463198
0.1,555,mean,1.0052173639487736
0.1,555,median,1.0521645655989518
0.1,31337,mean,1.0047374399522175
0.1,31337,median,1.0505894788835592
0.15,123,mean,1.0024342867940408
0.15,123,median,1.0555060898661062
0.15,456,mean,1.0062940506326956
0.15,456,median,1.046366787743517
0.15,789,mean,1.004395912813835
0.15,789,median,1.0576991440045718
0.15,1024,mean,1.0051621813901042
0.15,1024,median,1.046196280393398
0.15,1337,mean,1.00610460093873
0.15,1337,median,1.054374333784001
0.15,2024,mean,1.0031369583995027
0.15,2024,median,1.0393226245404836
0.15,7,mean,1.0019854461302942
0.15,7,median,1.0552397889195704
0.15,99,mean,1.0012907969794735
0.15,99,median,1.0454064690406777
0.15,555,mean,1.0024764127758108
0.15,555,median,1.0444925679638097
0.15,31337,mean,1.0035665997633425
0.15,31337,median,1.051710727824133
0.2,123,mean,1.0007995050620964
0.2,123,median,1.0439467355583418
0.2,456,mean,1.0027058277592544
0.2,456,median,1.0545009689932092
0.2,789,mean,1.0024503260909259
0.2,789,median,1.056683532978911
0.2,1024,mean,1.006045654076222
0.2,1024,median,1.0491578401147241
0.2,1337,mean,1.0026914845696526
0.2,1337,median,1.0611133245882662
0.2,2024,mean,1.003094747577444
0.2,2024,median,1.0386547214571984
0.2,7,mean,1.0008071988591072
0.2,7,median,1.049906779346041
0.2,99,mean,1.0009766851212623
0.2,99,median,1.0412130404411202
0.2,555,mean,1.001273429369097
0.2,555,median,1.0469128256378557
0.2,31337,mean,1.0028560482600894
0.2,31337,median,1.0477481629491447
0.25,123,mean,1.0017074942922068
0.25,123,median,1.0434010404497178
0.25,456,mean,1.0018342415114379
0.25,456,median,1.0529244634952382
0.25,789,mean,1.002710353043099
0.25,789,median,1.0511123151610269
0.25,1024,mean,1.0023279233532387
0.25,1024,median,1.042518125564178
0.25,1337,mean,1.0028356863830372
0.25,1337,median,1.0569420726238803
0.25,2024,mean,1.0027657577524822
0.25,2024,median,1.0430190760776974
0.25,7,mean,1.0055359248244005
0.25,7,median,1.0500652792466856
0.25,99,mean,1.0012367216810645
0.25,99,median,1.0442712896038564
0.25,555,mean,1.0010254081219832
0.25,555,median,1.0446688409205267
0.25,31337,mean,1.0037076625717247
0.25,31337,median,1.0500793468758665
0.3,123,mean,1.0014645145040368
0.3,123,median,1.0491275650803233
0.3,456,mean,1.0019636327144497
0.3,456,median,1.0487765606301813
0.3,789,mean,1.0015874937303828
0.3,789,median,1.0504674491177004
0.3,1024,mean,1.0012051442466818
0.3,1024,median,1.0449523282311803
0.3,1337,mean,1.0025984778128436
0.3,1337,median,1.0555993446248362
0.3,2024,mean,1.0010935358689674
0.3,2024,median,1.0340087563938352
0.3,7,mean,1.000887340182859
0.3,7,median,1.047504005968744
0.3,99,mean,1.0027252046304782
0.3,99,median,1.0390016810159888
0.3,555,mean,1.0011815227743661
0.3,555,median,1.046322560870341
0.3,31337,mean,1.0021735784629877
0.3,31337,median,1.061414505537936
0.35,123,mean,1.0012220594382626
0.35,123,median,1.0453431332418053
0.35,456,mean,1.0014459610316435
0.35,456,median,1.046960065999362
0.35,789,mean,1.0023553769625608
0.35,789,median,1.045284836514303
0.35,1024,mean,1.0015208309482893
0.35,1024,median,1.0426505887403803
0.35,1337,mean,1.0016240362360906
0.35,1337,median,1.0518639330065576
0.35,2024,mean,1.0012919853903808
0.35,2024,median,1.0324697217838483
0.35,7,mean,1.00154714637286
0.35,7,median,1.0464956766500437
0.35,99,mean,1.001665542062644
0.35,99,median,1.035831087687074
0.35,555,mean,1.000620981322332
0.35,555,median,1.0379661397303253
0.35,31337,mean,1.0033071217537621
0.35,31337,median,1.0510379624639048
0.4,123,mean,1.0016056747388655
0.4,123,median,1.0451507187062266
0.4,456,mean,1.0009053984771108
0.4,456,median,1.045094181242856
0.4,789,mean,1.0014485020267703
0.4,789,median,1.0449859399671102
0.4,1024,mean,1.0005148258885634
0.4,1024,median,1.0394363211486815
0.4,1337,mean,1.000626552656361
0.4,1337,median,1.0501426108444398
0.4,2024,mean,1.0012403306801396
0.4,2024,median,1.0366087018479226
0.4,7,mean,1.0014132499136947
0.4,7,median,1.048886459041198
0.4,99,mean,1.001803747889797
0.4,99,median,1.0361244391503324
0.4,555,mean,1.0007858164718701
0.4,555,median,1.033680799448413
0.4,31337,mean,1.0024684196587974
0.4,31337,median,1.052077483907373
0.45,123,mean,1.0015078225578224
0.45,123,median,1.0434810234200989
0.45,456,mean,1.001083488932305
0.45,456,median,1.051903139099398
0.45,789,mean,1.0015300294590923
0.45,789,median,1.0361963181197726
0.45,1024,mean,1.001935423828912
0.45,1024,median,1.0401891652833888
0.45,1337,mean,1.0015382378085536
0.45,1337,median,1.0507151500207508
0.45,2024,mean,1.001836939167793
0.45,2024,median,1.0402609669681784
0.45,7,mean,1.0019275999120583
0.45,7,median,1.0501030460068772
0.45,99,mean,1.0015737946425172
0.45,99,median,1.0409114252592953
0.45,555,mean,1.0012627017185822
0.45,555,median,1.0349177790610564
0.45,31337,mean,1.0031512446271087
0.45,31337,median,1.0506691021008154
0.5,123,mean,1.00053750033807
0.5,123,median,1.0463580980795257
0.5,456,mean,1.0014032618608086
0.5,456,median,1.0408385844530184
0.5,789,mean,1.001788059276249
0.5,789,median,1.0340935593636231
0.5,1024,mean,1.0009959682541048
0.5,1024,median,1.0394898729563353
0.5,1337,mean,1.0016009290775238
0.5,1337,median,1.0504906107234373
0.5,2024,mean,1.001704260920394
0.5,2024,median,1.0465827976461304
0.5,7,mean,1.001148693433773
0.5,7,median,1.0370049434659685
0.5,99,mean,1.0015806137578427
0.5,99,median,1.040858202786062
0.5,555,mean,1.001125638938554
0.5,555,median,1.0366207572199164
0.5,31337,mean,1.0018083531531132
0.5,31337,median,1.0520427501656922
