nutrient,knn_k10,knn_k5,knn_k3,softimpute,masked_nmf,mice,mice_extratrees,missforest,mean,median
Energy,0.8136431034653328,0.8712316207411146,0.9317049335773532,0.5485705927798661,0.8071968738702828,0.4881171540246635,0.4199330208635684,0.4282658867367107,1.0016080326913483,1.055386538328973
Protein,0.8628246474330556,0.9039224792518508,0.9469669697763076,0.7794382593373117,0.9800371333000604,0.6674553863818564,0.6215385401990218,0.7015368823863164,1.0047647966606537,1.0833208666579233
Fat,0.8001925717401462,0.8502340558645194,0.9114647444576248,0.6309195540719712,0.9029694415623348,0.5887916927645174,0.4577317871591878,0.4444027846311585,1.0041018247805416,1.0756114046680751
Carbohydrate,0.8732402948910598,0.934681180204316,1.000882019056292,0.6923593533248684,0.9480530131124804,0.5919923246551732,0.4765615500717151,0.5062575875123008,1.002991919142871,1.0791384702486853
Fiber,0.9126303630814784,0.9463631344861052,0.987219944269438,1.138831740435211,1.1663047937195483,1.145956879128773,0.9736419109801164,0.936159601329288,1.0031618885286708,1.041309220639302
Calcium,0.9636360553310044,0.9945078615679008,1.0286918094020148,0.9202542105162557,0.95984968384004,1.0569124917009711,0.986111439624856,0.8872982842662024,1.0039124157830142,1.0477795318516665
Phosphorus,0.8881461040500452,0.915720501418718,0.9393602170986672,0.7215028286314844,0.911114437840493,0.8107730350688792,0.655863887035543,0.6923930998650695,1.0013642309133484,1.0540443894389857
Iron,0.9810876991764704,1.015322569095599,1.0559447506654251,0.9499512715686038,0.9655000638278144,1.4267064960938547,1.0339204144883816,1.038954220435182,1.0007051484514569,1.0448782936421133
Sodium,1.0328770159026808,1.0681516670588809,1.1044668350344344,0.9974501534264519,1.001852617145245,1.1386390919426908,1.0476925627088929,1.136419925268354,1.0042825735090326,1.0389037233657656
Potassium,0.9477306250155748,0.960093012859695,0.9673438675109464,1.0555010448494466,1.200514329961781,1.5200443744089156,0.9724202772343128,1.0212896504847682,1.0224294538775656,1.020573114690604
Copper,1.898762108385032,2.2112974932544565,2.7979384082544465,1.5818887436682876,1.493162264877208,5.724088918138004,4.975034436146281,3.534457357209713,1.313135125040715,1.007386723201952
Zinc,0.9958880153970308,1.037819179625219,1.0913728786352876,1.0537078575698176,1.0240457224150783,1.2598395895736556,1.1508307460337386,1.0750202197978818,1.010406339297543,1.0413625261820505
Retinol,1.8125037658467664,1.8585507392840337,1.8581675321327389,1.3557292506409908,1.007736423515293,1.476334797868188,2.815396669767789,2.181131113380004,1.0143787507786182,1.0217939202584716
Beta_Carotene,1.045932423642404,1.0884586268182646,1.1285936662669809,1.0961827747912325,1.061430969135318,1.1553048466835243,1.2890483336275174,1.331351153419421,1.009184751242227,1.0539551933290128
Total_Carotenoids,0.9572678128066712,0.9962567118383546,1.057594421302107,1.3051294227558239,1.0945094674556357,1.2924536152473751,1.1759007545699167,1.1046021049269903,1.0065255523412326,1.0838327722379535
Thiamine,1.0196352944817242,1.044975432865766,1.088526441696921,1.7302356383097568,1.4712133241150056,11.061369224128596,16.720547536292546,10.576595872785449,1.1762676824375613,1.0406183107034217
Riboflavin,1.2457467062362686,1.3764761487070614,1.534427864072066,1.023858117734792,1.09212526594494,3.9571278716547873,3.695019394976175,3.823167348838834,1.0223559158800708,1.027458382571806
Niacin,1.0109961436111004,1.075723129979748,1.2031809639812558,0.9860627631470628,1.0055051717790364,1.4828775833834962,1.4476493429750852,1.6190153148495354,1.0143323504775044,1.057004377959451
Vitamin_C,0.9564445341828762,0.9712366752541868,1.0052451798053164,1.1736270027574913,1.1060827074263415,1.0797852886885535,0.9485771584299664,0.9597008121818248,1.0008444302282349,1.1012669327435511
