missing_frac,seed,method,nrmse
0.05,123,pica,1.0781910621200896
0.05,456,pica,0.9483465819310596
0.05,789,pica,0.954849844023584
0.05,1024,pica,0.9566115982579083
0.05,1337,pica,0.963741176031055
0.05,2024,pica,1.010777328558521
0.05,7,pica,0.971160175874997
0.05,99,pica,0.935963058173002
0.05,555,pica,0.9203391826930353
0.05,31337,pica,0.958759203229108
0.1,123,pica,0.9926736403288045
0.1,456,pica,0.9262846086556384
0.1,789,pica,0.9597452168445532
0.1,1024,pica,0.9611156747755959
0.1,1337,pica,0.9869353781189285
0.1,2024,pica,0.9510273144076274
0.1,7,pica,0.943932998455758
0.1,99,pica,0.9533439946949446
0.1,555,pica,0.9513228030053696
0.1,31337,pica,0.982402526414882
0.15,123,pica,0.9861006079082193
0.15,456,pica,0.9818776404341283
0.15,789,pica,0.9562382485864914
0.15,1024,pica,0.9421720858697933
0.15,1337,pica,0.9777317582454057
0.15,2024,pica,0.9650653395915907
0.15,7,pica,0.979948981246591
0.15,99,pica,0.9487742465082256
0.15,555,pica,0.9352982346585589
0.15,31337,pica,0.9825569649699782
0.2,123,pica,1.0387904954664475
0.2,456,pica,0.9827972719840284
0.2,789,pica,0.9677657069658565
0.2,1024,pica,0.9613088613451208
0.2,1337,pica,0.9873369082078439
0.2,2024,pica,0.954073836509942
0.2,7,pica,1.0149767011036372
0.2,99,pica,0.9394457033110397
0.2,555,pica,1.1219522305036758
0.2,31337,pica,0.9948186700574945
0.25,123,pica,0.9828949530820894
0.25,456,pica,1.0064411067730694
0.25,789,pica,0.9819757110814689
0.25,1024,pica,0.9601619127539678
0.25,1337,pica,0.9986187145268269
0.25,2024,pica,0.9540037146409445
0.25,7,pica,0.9965235021423039
0.25,99,pica,0.9400925387205752
0.25,555,pica,0.9554009581149753
0.25,31337,pica,1.017514488980518
0.3,123,pica,1.000026912150813
0.3,456,pica,0.9312419478013448
0.3,789,pica,0.9678157644251731
0.3,1024,pica,0.9639423020506195
0.3,1337,pica,1.0545106958192194
0.3,2024,pica,0.9438246403730545
0.3,7,pica,1.0017089925950988
0.3,99,pica,0.9524708428849051
0.3,555,pica,0.9889236359992637
0.3,31337,pica,0.9888988864291393
0.35,123,pica,0.9822461396540066
0.35,456,pica,0.9483969550332979
0.35,789,pica,0.9668813211925709
0.35,1024,pica,0.9806288398517724
0.35,1337,pica,1.0265108405506558
0.35,2024,pica,0.949923421594047
0.35,7,pica,1.177089197984181
0.35,99,pica,0.9559828888774751
0.35,555,pica,0.9922270824110431
0.35,31337,pica,1.0193041106020497
0.4,123,pica,0.9908744390428266
0.4,456,pica,0.9840655442468553
0.4,789,pica,0.9690961018900927
0.4,1024,pica,0.9850219289200646
0.4,1337,pica,1.0194043751987494
0.4,2024,pica,0.9977632024866708
0.4,7,pica,1.037812322886983
0.4,99,pica,0.9573357078147212
0.4,555,pica,0.9841042645729374
0.4,31337,pica,0.9938158199415601
0.45,123,pica,1.000984631606543
0.45,456,pica,0.9852963533374558
0.45,789,pica,0.972625199640291
0.45,1024,pica,0.939604020337881
0.45,1337,pica,1.0099266594768197
0.45,2024,pica,1.0051011237563727
0.45,7,pica,1.0924146822971346
0.45,99,pica,1.0028123984656958
0.45,555,pica,0.993624383136971
0.45,31337,pica,1.0463768886149643
0.5,123,pica,0.9995460190934125
0.5,456,pica,0.984717622298659
0.5,789,pica,0.9951534543797943
0.5,1024,pica,0.9987004739115826
0.5,1337,pica,1.0603183523370427
0.5,2024,pica,1.0007778911579015
0.5,7,pica,0.9914515210351076
0.5,99,pica,1.002648303303823
0.5,555,pica,0.9903486931294786
0.5,31337,pica,0.9848926931341077
