missing_frac,seed,method,nrmse
0.05,123,pica,0.7831166378832577
0.05,456,pica,0.8035432058639653
0.05,789,pica,0.808053587014246
0.05,1024,pica,0.78472353987971
0.05,1337,pica,0.7741789649693794
0.05,2024,pica,0.9433242240833521
0.05,7,pica,0.8060690666912065
0.05,99,pica,0.7432220548895832
0.05,555,pica,0.8169420663948642
0.05,31337,pica,0.7671079315642911
0.1,123,pica,0.784251166400824
0.1,456,pica,0.8440690307841059
0.1,789,pica,0.8504246937646355
0.1,1024,pica,0.8421790204812917
0.1,1337,pica,0.7919888471538632
0.1,2024,pica,0.8684909068416776
0.1,7,pica,0.9155021518023789
0.1,99,pica,0.8312890849506107
0.1,555,pica,0.7865820343121916
0.1,31337,pica,0.8248102516005623
0.15,123,pica,0.7595504822619816
0.15,456,pica,0.8150767427625618
0.15,789,pica,0.9229191029002273
0.15,1024,pica,0.8777581556880918
0.15,1337,pica,0.8275209951501099
0.15,2024,pica,1.1065863135801086
0.15,7,pica,0.8848703569929719
0.15,99,pica,0.8425978862074133
0.15,555,pica,0.8096860114737288
0.15,31337,pica,0.8785544727052672
0.2,123,pica,0.7725355702118302
0.2,456,pica,0.8619393068150836
0.2,789,pica,0.8981393341226228
0.2,1024,pica,0.8714348989572909
0.2,1337,pica,0.8099942299214169
0.2,2024,pica,0.9043227315970788
0.2,7,pica,0.8588693673148073
0.2,99,pica,0.8694291398567939
0.2,555,pica,0.806044943146712
0.2,31337,pica,0.8246094932765307
0.25,123,pica,0.7795473046683644
0.25,456,pica,0.9015063233334628
0.25,789,pica,0.8731693410476996
0.25,1024,pica,0.8652850619405785
0.25,1337,pica,0.9824850864639697
0.25,2024,pica,0.8857318907097704
0.25,7,pica,0.8780159146637341
0.25,99,pica,0.8696366388429417
0.25,555,pica,0.8930325556681049
0.25,31337,pica,0.8292777490737755
0.3,123,pica,0.8281976766430531
0.3,456,pica,0.868782674946325
0.3,789,pica,0.8406985238386345
0.3,1024,pica,0.90425714890435
0.3,1337,pica,0.8822672369281903
0.3,2024,pica,0.8774535743891975
0.3,7,pica,0.8995590047002961
0.3,99,pica,0.8905526902909571
0.3,555,pica,0.8616588465265944
0.3,31337,pica,0.8425312091156263
0.35,123,pica,0.9221252368124966
0.35,456,pica,0.8783551458150596
0.35,789,pica,0.8688056419455112
0.35,1024,pica,0.8552380714085861
0.35,1337,pica,0.9331133279059145
0.35,2024,pica,0.865633433378117
0.35,7,pica,0.8944032594993051
0.35,99,pica,0.8789034430737224
0.35,555,pica,0.8445735466110462
0.35,31337,pica,0.8679976391513536
0.4,123,pica,0.977788299169777
0.4,456,pica,0.8701723847922826
0.4,789,pica,0.8830758857470187
0.4,1024,pica,0.8831402993493067
0.4,1337,pica,0.9245883355812461
0.4,2024,pica,0.8813040656323275
0.4,7,pica,0.911439528676498
0.4,99,pica,0.8874736817806835
0.4,555,pica,0.8890669788024361
0.4,31337,pica,0.9049434673902695
0.45,123,pica,0.9010006902263825
0.45,456,pica,0.9084428817302626
0.45,789,pica,0.8901006583520442
0.45,1024,pica,0.8892562343691404
0.45,1337,pica,0.9133754623281056
0.45,2024,pica,0.8585557088591051
0.45,7,pica,0.9051930861166035
0.45,99,pica,0.8974079906824366
0.45,555,pica,0.9025879168578168
0.45,31337,pica,0.8816663155826785
0.5,123,pica,0.9308435283063865
0.5,456,pica,0.9272709258753213
0.5,789,pica,0.9155538049238329
0.5,1024,pica,0.889552966047356
0.5,1337,pica,0.94693141377636
0.5,2024,pica,0.8643823557357895
0.5,7,pica,0.9515925865631183
0.5,99,pica,0.9037747106409966
0.5,555,pica,0.9333298768370839
0.5,31337,pica,0.9003525981030016
