method,sec_mean,sec_std,n
mean,0.02312149996093164,0.006758994219883226,3
median,0.026266066629129153,0.0071737132492870215,3
masked_nmf,0.13004233331109086,0.020464400821954894,3
knn_k3,0.3615729666392629,0.06450096655688256,3
knn_k5,0.38895366662958014,0.03082110924704244,3
knn_k10,0.3939287666774665,0.07106609288125781,3
softimpute,0.48962763336021453,0.05804146519679399,3
iterativesvd,0.9158748999858896,0.3926484848529314,3
mice,1.0373038333297397,0.11273696436125753,3
pica,1.3747298333328217,0.2246183622190389,3
dae,8.763415666723935,3.764315588664524,3
missforest,113.35577990002155,2.7456399242257303,3
mice_extratrees,143.71700736666875,9.766460927710774,3
