missing_frac,seed,method,nrmse
0.05,123,knn_k10,0.9733224084949078
0.05,123,knn_k5,1.004081506280455
0.05,123,softimpute,0.9774750879277138
0.05,123,masked_nmf,1.1021408206488328
0.05,123,missforest,1.067818695453379
0.05,456,knn_k10,0.8562660101937949
0.05,456,knn_k5,0.9018380856826416
0.05,456,softimpute,0.9137098386451055
0.05,456,masked_nmf,0.9632179637223944
0.05,456,missforest,0.8565480876029127
0.05,789,knn_k10,0.961811848608707
0.05,789,knn_k5,0.9699953829083364
0.05,789,softimpute,0.9856262391430624
0.05,789,masked_nmf,1.0345012569971366
0.05,789,missforest,0.954914031103698
0.05,1024,knn_k10,0.9954235460051272
0.05,1024,knn_k5,0.9977035041801684
0.05,1024,softimpute,1.0337829300220613
0.05,1024,masked_nmf,1.0574298515409073
0.05,1024,missforest,1.0003609082722336
0.05,1337,knn_k10,0.795367469421495
0.05,1337,knn_k5,0.7672270580185679
0.05,1337,softimpute,1.0247097050902025
0.05,1337,masked_nmf,1.1098880660416823
0.05,1337,missforest,0.8742195271175834
0.05,2024,knn_k10,0.9717195789376892
0.05,2024,knn_k5,0.9762057359338688
0.05,2024,softimpute,1.0298430235921108
0.05,2024,masked_nmf,1.023116739187274
0.05,2024,missforest,0.9937562773601222
0.05,7,knn_k10,0.8866745390843271
0.05,7,knn_k5,0.8880827703462463
0.05,7,softimpute,0.985869230565618
0.05,7,masked_nmf,1.0446571369207076
0.05,7,missforest,0.9993946883737784
0.05,99,knn_k10,0.8675119421716683
0.05,99,knn_k5,0.9113585919838912
0.05,99,softimpute,1.0119109349870052
0.05,99,masked_nmf,0.9531475046866752
0.05,99,missforest,0.8791605042738527
0.05,555,knn_k10,0.9382841378399932
0.05,555,knn_k5,0.9640550433676788
0.05,555,softimpute,0.9692123400087158
0.05,555,masked_nmf,0.9698702656126816
0.05,555,missforest,0.8819389407683434
0.05,31337,knn_k10,0.9174196989944152
0.05,31337,knn_k5,0.9203223394848162
0.05,31337,softimpute,0.9349583913967653
0.05,31337,masked_nmf,1.0626744664953267
0.05,31337,missforest,0.9338298406094844
0.1,123,knn_k10,0.9416406081823776
0.1,123,knn_k5,0.9599332248046236
0.1,123,softimpute,0.9700396894244736
0.1,123,masked_nmf,1.0545758460037058
0.1,123,missforest,1.05775506984246
0.1,456,knn_k10,0.9034438791496708
0.1,456,knn_k5,0.9468680518827092
0.1,456,softimpute,0.9179623425198681
0.1,456,masked_nmf,0.98552269485206
0.1,456,missforest,0.9073008027131172
0.1,789,knn_k10,0.950468535090629
0.1,789,knn_k5,0.975420737548122
0.1,789,softimpute,0.9509441258480918
0.1,789,masked_nmf,0.9766289478571256
0.1,789,missforest,0.8467497178145895
0.1,1024,knn_k10,0.9682583189684202
0.1,1024,knn_k5,0.9711693171014092
0.1,1024,softimpute,1.0251585306432562
0.1,1024,masked_nmf,1.005290351477824
0.1,1024,missforest,0.9488994692667088
0.1,1337,knn_k10,0.9302288911875968
0.1,1337,knn_k5,0.8927407159304817
0.1,1337,softimpute,1.060157361334562
0.1,1337,masked_nmf,1.1134134515163805
0.1,1337,missforest,0.9660951276524988
0.1,2024,knn_k10,0.932775373693108
0.1,2024,knn_k5,0.993135280416777
0.1,2024,softimpute,1.0139932289701514
0.1,2024,masked_nmf,1.0072315956214326
0.1,2024,missforest,0.952321167121529
0.1,7,knn_k10,0.916613219429348
0.1,7,knn_k5,0.9972818427896932
0.1,7,softimpute,0.9715025432840491
0.1,7,masked_nmf,0.9678132526502208
0.1,7,missforest,1.0395515679885885
0.1,99,knn_k10,0.8803298233258188
0.1,99,knn_k5,0.9098638821663388
0.1,99,softimpute,0.9861070767541511
0.1,99,masked_nmf,0.94004504181156
0.1,99,missforest,0.9355449040889884
0.1,555,knn_k10,0.9477657854798788
0.1,555,knn_k5,0.9472635433821676
0.1,555,softimpute,0.9788532371208873
0.1,555,masked_nmf,0.9766761267600484
0.1,555,missforest,0.8898410009800236
0.1,31337,knn_k10,0.892828135908215
0.1,31337,knn_k5,0.8816117111228795
0.1,31337,softimpute,0.9044904293127574
0.1,31337,masked_nmf,1.057190095994756
0.1,31337,missforest,0.9491241679358988
0.15,123,knn_k10,0.9799603507024824
0.15,123,knn_k5,0.9966911361806828
0.15,123,softimpute,1.005406810804379
0.15,123,masked_nmf,1.03174350241644
0.15,123,missforest,1.0012223192353529
0.15,456,knn_k10,0.9154792419118322
0.15,456,knn_k5,0.9614088648529276
0.15,456,softimpute,0.9443448558560824
0.15,456,masked_nmf,0.9899180682541302
0.15,456,missforest,0.959051791653906
0.15,789,knn_k10,0.9267619574447624
0.15,789,knn_k5,0.9681096287079134
0.15,789,softimpute,0.9759202458972429
0.15,789,masked_nmf,0.980785649373844
0.15,789,missforest,0.9647125268699804
0.15,1024,knn_k10,0.9740913472633816
0.15,1024,knn_k5,0.9567827807656388
0.15,1024,softimpute,0.9895123235339497
0.15,1024,masked_nmf,1.0008374335012489
0.15,1024,missforest,0.9831570789896152
0.15,1337,knn_k10,0.922072997026644
0.15,1337,knn_k5,0.9597852358271074
0.15,1337,softimpute,1.1053231621016208
0.15,1337,masked_nmf,1.1304842968320974
0.15,1337,missforest,0.936612262995036
0.15,2024,knn_k10,0.9750664160095144
0.15,2024,knn_k5,1.00226019011452
0.15,2024,softimpute,1.0104874616304769
0.15,2024,masked_nmf,1.0993547412917783
0.15,2024,missforest,0.9003977599830069
0.15,7,knn_k10,0.946011034485012
0.15,7,knn_k5,0.9755608495372494
0.15,7,softimpute,0.9370764984526975
0.15,7,masked_nmf,0.9666112194083032
0.15,7,missforest,0.942932971332494
0.15,99,knn_k10,0.8978170532256758
0.15,99,knn_k5,0.9314987024317074
0.15,99,softimpute,0.9543415684350012
0.15,99,masked_nmf,0.964602608965662
0.15,99,missforest,0.9472770597192496
0.15,555,knn_k10,0.9536960913470002
0.15,555,knn_k5,0.9646795098468676
0.15,555,softimpute,0.9068270270148467
0.15,555,masked_nmf,0.9779510951727224
0.15,555,missforest,0.947210028121114
0.15,31337,knn_k10,0.9449624615646272
0.15,31337,knn_k5,0.971749509302079
0.15,31337,softimpute,0.9206807711282542
0.15,31337,masked_nmf,1.037176515583571
0.15,31337,missforest,1.0103751194636026
0.2,123,knn_k10,0.9669290733428868
0.2,123,knn_k5,0.9765129996423096
0.2,123,softimpute,1.0004433910977868
0.2,123,masked_nmf,1.0146122221517198
0.2,123,missforest,1.00176047545253
0.2,456,knn_k10,0.9551104368068866
0.2,456,knn_k5,0.9954684072664864
0.2,456,softimpute,0.9260039539742227
0.2,456,masked_nmf,0.9931819653727348
0.2,456,missforest,0.9625223146732176
0.2,789,knn_k10,0.9435993805810988
0.2,789,knn_k5,0.9577834579358266
0.2,789,softimpute,0.9831479198308165
0.2,789,masked_nmf,0.9762405113812216
0.2,789,missforest,0.919947187593836
0.2,1024,knn_k10,0.9579862291980844
0.2,1024,knn_k5,0.969564989905235
0.2,1024,softimpute,0.963310008068535
0.2,1024,masked_nmf,1.0162517312591852
0.2,1024,missforest,0.9614493996712132
0.2,1337,knn_k10,0.975646189280479
0.2,1337,knn_k5,1.0075589296441
0.2,1337,softimpute,1.0824751635005865
0.2,1337,masked_nmf,1.0568131134827865
0.2,1337,missforest,0.999073514045568
0.2,2024,knn_k10,0.960328486384632
0.2,2024,knn_k5,0.9943253566852914
0.2,2024,softimpute,1.0023624977274364
0.2,2024,masked_nmf,1.0370646459113784
0.2,2024,missforest,0.9990283228980515
0.2,7,knn_k10,0.956528938947146
0.2,7,knn_k5,1.000123214056449
0.2,7,softimpute,1.0021764509668918
0.2,7,masked_nmf,0.9685030106562844
0.2,7,missforest,1.001555717681706
0.2,99,knn_k10,0.9631671804252504
0.2,99,knn_k5,0.9771581729077468
0.2,99,softimpute,0.9458903980764923
0.2,99,masked_nmf,0.9826092059197462
0.2,99,missforest,0.954462925667108
0.2,555,knn_k10,0.9559555157669608
0.2,555,knn_k5,0.9577144905716966
0.2,555,softimpute,0.98051561889936
0.2,555,masked_nmf,0.9977257090045212
0.2,555,missforest,0.9713952404363712
0.2,31337,knn_k10,0.9488397970269032
0.2,31337,knn_k5,0.9986263462191536
0.2,31337,softimpute,0.9200630576040923
0.2,31337,masked_nmf,0.983602603361292
0.2,31337,missforest,1.0046306611744011
0.25,123,knn_k10,0.9844865944511878
0.25,123,knn_k5,1.0016800002581412
0.25,123,softimpute,1.016966939033943
0.25,123,masked_nmf,1.0087827432530476
0.25,123,missforest,0.9915302012651744
0.25,456,knn_k10,0.990602653931108
0.25,456,knn_k5,1.017737759242054
0.25,456,softimpute,0.9621884923328671
0.25,456,masked_nmf,1.0226148247634663
0.25,456,missforest,0.977610110697656
0.25,789,knn_k10,0.9784916574603564
0.25,789,knn_k5,0.9988264020701584
0.25,789,softimpute,0.9807698075430603
0.25,789,masked_nmf,1.005161663448915
0.25,789,missforest,0.9993533891755988
0.25,1024,knn_k10,0.9789524602972668
0.25,1024,knn_k5,0.984702584654081
0.25,1024,softimpute,0.9470606597935388
0.25,1024,masked_nmf,1.0020155278037666
0.25,1024,missforest,0.9718357043357732
0.25,1337,knn_k10,0.9913920663071716
0.25,1337,knn_k5,1.0190767966888623
0.25,1337,softimpute,0.9865990863555784
0.25,1337,masked_nmf,1.0354669732672106
0.25,1337,missforest,1.0164219526389595
0.25,2024,knn_k10,1.0005125393328145
0.25,2024,knn_k5,1.015772498333686
0.25,2024,softimpute,1.0019050417856854
0.25,2024,masked_nmf,1.092431831354904
0.25,2024,missforest,1.005647657759321
0.25,7,knn_k10,1.001991670876457
0.25,7,knn_k5,1.0225963612586435
0.25,7,softimpute,1.0243820465315683
0.25,7,masked_nmf,0.9671988630317896
0.25,7,missforest,1.001269742666526
0.25,99,knn_k10,0.9790847662620692
0.25,99,knn_k5,0.98308132079266
0.25,99,softimpute,0.9578280765531786
0.25,99,masked_nmf,1.0023452662100172
0.25,99,missforest,0.936179453464236
