missing_frac,seed,method,nrmse
0.05,123,knn_k10,0.566832964332604
0.05,123,knn_k5,0.5495382255965034
0.05,123,softimpute,0.7562147945657243
0.05,456,knn_k10,0.6415488023588095
0.05,456,knn_k5,0.6062692460604113
0.05,456,softimpute,0.7948526914512752
0.05,789,knn_k10,0.6793460750263735
0.05,789,knn_k5,0.6452940644817053
0.05,789,softimpute,0.8871667659801937
0.05,1024,knn_k10,0.58001546081211
0.05,1024,knn_k5,0.5941238288054544
0.05,1024,softimpute,0.8077601814970224
0.05,1337,knn_k10,0.6398915571102837
0.05,1337,knn_k5,0.6182287911772277
0.05,1337,softimpute,0.8157494993459533
0.05,2024,knn_k10,0.7387133144875182
0.05,2024,knn_k5,0.6443833110607136
0.05,2024,softimpute,0.8584753135347218
0.05,7,knn_k10,0.6221850453164248
0.05,7,knn_k5,0.6085715044754435
0.05,7,softimpute,0.7967499346447564
0.05,99,knn_k10,0.5416851791154425
0.05,99,knn_k5,0.5611758628354055
0.05,99,softimpute,0.7443441020088288
0.05,555,knn_k10,0.6687740592846677
0.05,555,knn_k5,0.6482955869680429
0.05,555,softimpute,0.8235897495374311
0.05,31337,knn_k10,0.6329839600726197
0.05,31337,knn_k5,0.5950770660649697
0.05,31337,softimpute,0.778973172946241
0.1,123,knn_k10,0.733529108852649
0.1,123,knn_k5,0.7347840061758031
0.1,123,softimpute,0.820777103857983
0.1,456,knn_k10,0.7320643499357022
0.1,456,knn_k5,0.6961080085311413
0.1,456,softimpute,0.8337717504125952
0.1,789,knn_k10,0.7384097407534216
0.1,789,knn_k5,0.7393490753610175
0.1,789,softimpute,0.8642868555094059
0.1,1024,knn_k10,0.6763531072373987
0.1,1024,knn_k5,0.6805626257547733
0.1,1024,softimpute,0.8270974975240084
0.1,1337,knn_k10,0.7046319971153832
0.1,1337,knn_k5,0.7277478414357539
0.1,1337,softimpute,0.845393214933662
0.1,2024,knn_k10,0.7473445181003868
0.1,2024,knn_k5,0.7450016811143085
0.1,2024,softimpute,0.8800242336783219
0.1,7,knn_k10,0.6857358667705842
0.1,7,knn_k5,0.6632861507953007
0.1,7,softimpute,0.8058157082568584
0.1,99,knn_k10,0.7285555108891112
0.1,99,knn_k5,0.7454432087438843
0.1,99,softimpute,0.8264650134221843
0.1,555,knn_k10,0.7162970485104097
0.1,555,knn_k5,0.7245015636005305
0.1,555,softimpute,0.847341826866478
0.1,31337,knn_k10,0.7494952467422364
0.1,31337,knn_k5,0.702446968933789
0.1,31337,softimpute,0.7833914847890886
0.15,123,knn_k10,0.7845055081509906
0.15,123,knn_k5,0.7692443288030637
0.15,123,softimpute,0.8196537448793946
0.15,456,knn_k10,0.7987762734326248
0.15,456,knn_k5,0.8104312937366404
0.15,456,softimpute,0.8715054466279495
0.15,789,knn_k10,0.7877100899917462
0.15,789,knn_k5,0.7900589083254947
0.15,789,softimpute,0.8759884784963361
0.15,1024,knn_k10,0.7804983612070635
0.15,1024,knn_k5,0.7793771898870979
0.15,1024,softimpute,0.8494158001929756
