mechanism,missing_frac,seed,method,nrmse,nrmse_refnorm
mcar,0.05,123,knn_k10,0.566832964332604,0.4436674529893984
mcar,0.05,123,knn_k5,0.5495382255965034,0.4195199041046794
mcar,0.05,123,softimpute,0.7562147945657243,0.5553697054200253
mcar,0.05,456,knn_k10,0.6415488023588095,0.4584052035566198
mcar,0.05,456,knn_k5,0.6062692460604113,0.4808887443749846
mcar,0.05,456,softimpute,0.7948526914512752,0.5328351880259349
mcar,0.05,789,knn_k10,0.6793460750263735,0.431651050866276
mcar,0.05,789,knn_k5,0.6452940644817053,0.4231982976350654
mcar,0.05,789,softimpute,0.8871667659801937,0.5191429838253765
mcar,0.05,1024,knn_k10,0.58001546081211,0.4627940140017906
mcar,0.05,1024,knn_k5,0.5941238288054544,0.4706508076840894
mcar,0.05,1024,softimpute,0.8077601814970224,0.5700574532568234
mcar,0.05,1337,knn_k10,0.6398915571102837,0.5039239520653382
mcar,0.05,1337,knn_k5,0.6182287911772277,0.505374383926151
mcar,0.05,1337,softimpute,0.8157494993459533,0.6253825416393403
mcar,0.05,2024,knn_k10,0.7387133144875182,0.5571281600441879
mcar,0.05,2024,knn_k5,0.6443833110607136,0.5799501732326013
mcar,0.05,2024,softimpute,0.8584753135347218,0.7244781598295769
mcar,0.05,7,knn_k10,0.6221850453164248,0.4750368829018899
mcar,0.05,7,knn_k5,0.6085715044754435,0.4487922143584202
mcar,0.05,7,softimpute,0.7967499346447564,0.5459484166100894
mcar,0.05,99,knn_k10,0.5416851791154425,0.4616394416677265
mcar,0.05,99,knn_k5,0.5611758628354055,0.4757931783103281
mcar,0.05,99,softimpute,0.7443441020088288,0.5303886289915349
mcar,0.05,555,knn_k10,0.6687740592846677,0.4514953798397077
mcar,0.05,555,knn_k5,0.6482955869680429,0.4648360883106688
mcar,0.05,555,softimpute,0.8235897495374311,0.5869757001864019
mcar,0.05,31337,knn_k10,0.6329839600726197,0.4399268980425598
mcar,0.05,31337,knn_k5,0.5950770660649697,0.4809435219289927
mcar,0.05,31337,softimpute,0.778973172946241,0.5738649460531131
mcar,0.1,123,knn_k10,0.733529108852649,0.7658908079785125
mcar,0.1,123,knn_k5,0.7347840061758031,0.781848708090404
mcar,0.1,123,softimpute,0.820777103857983,0.7120890460000805
mcar,0.1,456,knn_k10,0.7320643499357022,0.6002150160851287
mcar,0.1,456,knn_k5,0.6961080085311413,0.6131935702919922
mcar,0.1,456,softimpute,0.8337717504125952,0.7085139841735563
mcar,0.1,789,knn_k10,0.7384097407534216,0.5304443216836653
mcar,0.1,789,knn_k5,0.7393490753610175,0.5468386834511881
mcar,0.1,789,softimpute,0.8642868555094059,0.5935584581687093
mcar,0.1,1024,knn_k10,0.6763531072373987,0.5368960708958982
mcar,0.1,1024,knn_k5,0.6805626257547733,0.54361523982118
mcar,0.1,1024,softimpute,0.8270974975240084,0.5665072894373178
mcar,0.1,1337,knn_k10,0.7046319971153832,0.6169370255427251
mcar,0.1,1337,knn_k5,0.7277478414357539,0.5934628087602163
mcar,0.1,1337,softimpute,0.845393214933662,0.6272144274716084
mcar,0.1,2024,knn_k10,0.7473445181003868,0.6191720156997633
mcar,0.1,2024,knn_k5,0.7450016811143085,0.6046306848286847
mcar,0.1,2024,softimpute,0.8800242336783219,0.7422148880027994
mcar,0.1,7,knn_k10,0.6857358667705842,0.5372061078489072
mcar,0.1,7,knn_k5,0.6632861507953007,0.568420156011689
mcar,0.1,7,softimpute,0.8058157082568584,0.6361568041569604
mcar,0.1,99,knn_k10,0.7285555108891112,0.6183165199086957
mcar,0.1,99,knn_k5,0.7454432087438843,0.6178188425154911
mcar,0.1,99,softimpute,0.8264650134221843,0.6553457799735518
mcar,0.1,555,knn_k10,0.7162970485104097,0.5315213738122082
mcar,0.1,555,knn_k5,0.7245015636005305,0.5581234409503606
mcar,0.1,555,softimpute,0.847341826866478,0.6308928101541877
mcar,0.1,31337,knn_k10,0.7494952467422364,0.5341927002704712
mcar,0.1,31337,knn_k5,0.702446968933789,0.5468390390457054
mcar,0.1,31337,softimpute,0.7833914847890886,0.6095175326896579
mcar,0.15,123,knn_k10,0.7845055081509906,0.8245927679865886
mcar,0.15,123,knn_k5,0.7692443288030637,0.8240498867647765
mcar,0.15,123,softimpute,0.8196537448793946,0.7401895805528508
mcar,0.15,456,knn_k10,0.7987762734326248,0.7605574613100001
mcar,0.15,456,knn_k5,0.8104312937366404,0.7766302870780891
mcar,0.15,456,softimpute,0.8715054466279495,0.7744739237148041
