mechanism,missing_rate,knn_k10_held,knn_k10_ref,knn_k5_held,knn_k5_ref,softimpute_held,softimpute_ref,best_held
mcar,5%,0.631,0.469,0.607,0.475,0.806,0.576,knn_k5
mcar,10%,0.721,0.589,0.716,0.597,0.833,0.648,knn_k5
mcar,15%,0.783,0.683,0.787,0.697,0.853,0.702,knn_k10
mcar,20%,0.850,0.786,0.861,0.803,0.868,0.758,knn_k10
mcar,25%,0.911,0.864,0.924,0.892,0.882,0.788,softimpute
mcar,30%,0.966,0.951,0.977,0.977,0.888,0.825,softimpute
mcar,35%,1.006,1.021,1.019,1.039,0.894,0.856,softimpute
mcar,40%,1.051,1.070,1.067,1.086,0.920,0.890,softimpute
mcar,45%,1.070,1.093,1.084,1.109,0.945,0.933,softimpute
mcar,50%,1.080,1.090,1.096,1.110,0.972,0.965,softimpute
mar,5%,0.641,0.524,0.635,0.528,0.824,0.647,knn_k5
mar,10%,0.704,0.590,0.688,0.604,0.837,0.740,knn_k5
mar,15%,0.762,0.706,0.761,0.704,0.848,0.773,knn_k5
mar,20%,0.792,0.749,0.799,0.755,0.871,0.814,knn_k10
mar,25%,0.844,0.797,0.854,0.814,0.884,0.850,knn_k10
mar,30%,0.900,0.851,0.914,0.870,0.892,0.872,softimpute
mar,35%,0.936,0.916,0.954,0.940,0.928,0.912,softimpute
mar,40%,0.982,0.995,0.996,1.018,0.937,0.959,softimpute
mar,45%,1.017,1.022,1.034,1.047,0.953,0.974,softimpute
mar,50%,1.043,1.075,1.062,1.095,0.970,0.998,softimpute
mnar,5%,1.511,0.185,1.545,0.185,2.489,0.304,knn_k10
mnar,10%,1.310,0.208,1.316,0.208,2.334,0.350,knn_k10
mnar,15%,1.310,0.225,1.395,0.238,2.567,0.380,knn_k10
mnar,20%,1.648,0.296,1.773,0.322,2.532,0.410,knn_k10
mnar,25%,1.992,0.412,2.080,0.434,2.396,0.459,knn_k10
mnar,30%,2.732,0.567,2.924,0.602,2.504,0.493,softimpute
mnar,35%,3.000,0.656,3.117,0.681,2.412,0.535,softimpute
mnar,40%,3.200,0.851,3.335,0.873,2.377,0.577,softimpute
mnar,45%,3.149,0.930,3.217,0.949,2.395,0.616,softimpute
mnar,50%,3.138,1.003,3.191,1.019,2.276,0.677,softimpute
