missing_rate,dae,missforest,softimpute,knn_k10,knn_k5,masked_nmf,iterativesvd
5%,0.970,0.944,0.987,0.916,0.930,1.032,1.022
10%,0.964,0.949,0.978,0.926,0.948,1.008,1.025
15%,0.972,0.959,0.975,0.944,0.969,1.018,1.029
20%,0.974,0.978,0.981,0.958,0.983,1.003,1.015
25%,0.972,0.987,0.984,0.987,1.003,1.015,1.013
30%,0.981,1.005,0.990,1.025,1.045,1.032,1.024
35%,0.989,1.012,1.003,1.044,1.061,1.054,1.058
40%,0.995,1.056,1.015,1.081,1.104,1.068,1.074
45%,1.003,1.035,1.027,1.115,1.132,1.091,1.119
50%,1.006,1.060,1.049,1.145,1.161,1.134,1.115
