missing_frac,knn_k10,softimpute,pica
0.05,0.6312 +/- 0.0581,0.8064 +/- 0.0434,0.803 +/- 0.0541
0.1,0.7212 +/- 0.0251,0.8334 +/- 0.0278,0.834 +/- 0.0406
0.15,0.7832 +/- 0.0225,0.8535 +/- 0.0196,0.8725 +/- 0.0946
0.2,0.8498 +/- 0.0168,0.868 +/- 0.0178,0.8477 +/- 0.0428
0.25,0.9106 +/- 0.0216,0.8819 +/- 0.0229,0.8758 +/- 0.0517
0.3,0.9656 +/- 0.0137,0.8884 +/- 0.0226,0.8696 +/- 0.026
0.35,1.0057 +/- 0.0174,0.8936 +/- 0.0178,0.8809 +/- 0.0282
0.4,1.051 +/- 0.0169,0.9197 +/- 0.011,0.9013 +/- 0.0314
0.45,1.0698 +/- 0.0185,0.9454 +/- 0.0156,0.8948 +/- 0.0159
0.5,1.0796 +/- 0.021,0.9723 +/- 0.0198,0.9164 +/- 0.0271
