missing_frac,pica_mean,si_mean,delta_mean,W,p_unadj,HL_shift,CI_lo,CI_hi,p_holm,sig_holm
0.05,0.9698739210892361,0.9867097721378361,-0.016835851048600026,18.0,0.375,-0.021267294239099344,-0.05492084318741397,0.025921408438347615,1.0,False
0.1,0.9608784155702101,0.977920856521225,-0.017042440951014603,16.0,0.275390625,-0.02529401615565141,-0.05037620866557563,0.01571752095039608,1.0,False
0.15,0.9655764108018982,0.974992072485455,-0.009415661683556908,24.0,0.76953125,-0.004903726543055209,-0.04638117985152124,0.03300199611087895,1.0,False
0.2,0.9963266385455085,0.980638845974622,0.015687792570886594,22.0,0.625,0.01323347561795385,-0.028395575462040856,0.06577446523160385,1.0,False
0.25,0.9793627600816739,0.9840664117412198,-0.004703651659545916,23.0,0.6953125,-0.006374643510050959,-0.027858544389264495,0.01796314917123709,1.0,False
0.3,0.979336462052863,0.9898587230965571,-0.010522261043694003,14.0,0.193359375,-0.007259268213257675,-0.03533538889207416,0.01160997721547452,1.0,False
0.35,0.9999190797751101,1.0030405124080108,-0.0031214326329008666,16.0,0.275390625,-0.018412118092129337,-0.04510007637580493,0.061968290695810835,1.0,False
0.4,0.991929370700146,1.015352500595581,-0.023423129895434925,7.0,0.037109375,-0.02472970403221464,-0.04587419517119662,-0.0028891807238366485,0.333984375,False
0.45,1.004876634067013,1.0268588671500356,-0.021982233083022763,11.0,0.10546875,-0.027897784977704343,-0.04440086453580139,0.006794690251250457,0.84375,False
0.5,1.0008555023780907,1.0494917108216424,-0.04863620844355151,0.0,0.001953125,-0.04740625008829347,-0.07078301844647078,-0.025069801516877432,0.01953125,True
