missing_frac,pica_mean,si_mean,delta_mean,W,p_unadj,HL_shift,CI_lo,CI_hi,p_holm,sig_holm
0.05,0.8030281279233856,0.8063876205512148,-0.0033594926278292746,24.0,0.76953125,-0.003884865130906301,-0.03489702345974882,0.026901843317533425,1.0,False
0.1,0.8339587188092142,0.8334364689250586,0.0005222498841555678,25.0,0.845703125,-0.0033546276541089326,-0.03363326476228462,0.03658025304418072,1.0,False
0.15,0.8725120519722462,0.8534808221080743,0.01903122986417196,27.0,1.0,-0.0033555932235993513,-0.045741122903851295,0.08786809160466452,1.0,False
0.2,0.8477319015220168,0.8679853763463148,-0.020253474824298144,16.0,0.275390625,-0.018467904372805433,-0.0566625932338331,0.013640373051327592,1.0,False
0.25,0.8757687866412402,0.8819015421006462,-0.0061327554594061695,19.0,0.431640625,-0.008762168236520596,-0.04356412931349418,0.03623622265001514,1.0,False
0.3,0.8695958586283226,0.8884406196355741,-0.01884476100725163,14.0,0.193359375,-0.023898706694783833,-0.04678193244113432,0.013838887931348742,1.0,False
0.35,0.8809148745601112,0.8935857425317973,-0.012670867971686029,16.0,0.275390625,-0.015653228278152242,-0.03743295289953169,0.010085960943748362,1.0,False
0.4,0.9012992926921847,0.9196980582684837,-0.018398765576299013,11.0,0.10546875,-0.023739846692747035,-0.038171440119550315,0.014446070869443273,0.84375,False
0.45,0.8947586945104578,0.9453788144356242,-0.050620119925166664,0.0,0.001953125,-0.05061278861849988,-0.06015676090964195,-0.04155709060989449,0.01953125,True
0.5,0.9163584766809247,0.9723061434003215,-0.05594766671939679,0.0,0.001953125,-0.05475649350258477,-0.07621011768716213,-0.03571314428018452,0.01953125,True
